pl_name,pl_letter,disc_pubdate,disc_method,disc_refname,dkin_flag,ra,dec,glon,glat,pl_orbper,pl_orblper,pl_orbsmax,pl_orbincl,pl_orbtper,pl_orbeccen,cb_flag,sy_pm,sy_pmra,sy_pmdec,sy_plx,sy_dist,pl_eqt,pl_occdep,pl_insol,pl_dens,pl_radj,pl_rade,pl_trueobliq,pl_bmassj,pl_bmasse,pl_ntranspec,sy_gaiamag,sy_tmag,sy_w1mag,sy_w4mag,hostname,sy_name,pl_ratdor,pl_imppar
GJ 720 A b,b,2021-05,rv,<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.157G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2021</a>,0,278.8294172,45.7456038,74.39563,21.73083,19.466,110.22,0.119,,2456406.81,0.12,0,580.2814772,452.186,363.668,64.2488,15.5575,401,,4.2846,1.4,0.336,3.77,,0.04291624,13.64,0,9.10496,8.135181,,,GJ 720 A,GJ 720,,
GJ 724 b,b,2023-12,rv,<a refstr=GORRINI_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...680A..28G/abstract target=ref>Gorrini et al. 2023</a>,0,280.238365,-13.3824997,19.82504,-3.78099,5.101284,33.2,0.04685,,2457509.766,0.577,0,677.8415697,-94.3221,-671.247,58.9132,16.9658,611,,23.32,1.69,0.292,3.27,,0.03382328,10.75,0,9.76915,8.682,,,GJ 724,GJ 724,,
GJ 740 b,b,2021-04,rv,<a refstr=TOLEDO_PADR_OACUTE_N_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...648A..20T/abstract target=ref>Toledo-Padr&oacute;n et al. 2021</a>,0,284.4997178,5.902867,38.93233,1.23509,2.37756,-41,0.029,,2454648.57,0.24,0,1236.1557764,-196.301,-1220.47,90.0477,11.1017,829,,79,4.54,0.137,1.53,,0.00931315,2.96,0,8.45636,7.46819,,,GJ 740,GJ 740,,
GJ 806 b,b,2023-10,tran,<a refstr=PALLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..80P/abstract target=ref>Palle et al. 2023</a>,0,311.2697002,44.5002351,84.07015,1.00774,0.9263237,,0.01406,87.7,,,0,511.8037756,434.079,271.143,82.9968,12.0445,940,,130,4.4,0.11874407,1.331,,0.00597807,1.9,0,9.82461,8.72762,,,GJ 806,GJ 806,7.3,0.3
GJ 806 c,c,2023-10,rv,<a refstr=PALLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..80P/abstract target=ref>Palle et al. 2023</a>,0,311.2697002,44.5002351,84.07015,1.00774,6.64064,,0.0523,,,,0,511.8037756,434.079,271.143,82.9968,12.0445,490,,9.5,2.69,0.203,2.28,,0.01824884,5.8,0,9.82461,8.72762,,,GJ 806,GJ 806,27.13,
GJ 832 b,b,2009-01,rv,<a refstr=BAILEY_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...690..743B/abstract target=ref> Bailey et al. 2009 </a>,0,323.3912616,-49.0125169,349.16814,-46.34872,3853,207,3.7,51,2456696,0.05,0,817.8892865,-45.8344,-816.604,201.407,4.96435,57.84,,0.0019,0.658,1.23,13.8,,0.99,314.65012293,0,7.73761,6.68,4.298,4.052,GJ 832,GJ 832,,
GJ 849 b,b,2006-12,rv,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006PASP..118.1685B/abstract target=ref> Butler et al. 2006 </a>,0,332.4229938,-4.6408317,55.89444,-45.40318,1925.31,111,2.32,,2453770,0.029,0,1132.7461051,1132.53,-22.1255,113.6,8.80058,73.63,,0.0048,0.581,1.24,13.9,,0.893,283.82076745,0,9.2245,8.02198,5.57,5.177,GJ 849,GJ 849,,
GJ 849 c,c,2014-01,rv,<a refstr=MONTET_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...28M/abstract target=ref>Montet et al. 2014</a>,0,332.4229938,-4.6408317,55.89444,-45.40318,5990,143,4.95,,,0.092,0,1132.7461051,1132.53,-22.1255,113.6,8.80058,50.41,,0.001,0.658,1.23,13.8,,0.99,314.65012293,0,9.2245,8.02198,5.57,5.177,GJ 849,GJ 849,,
GJ 86 b,b,2000-02,rv,<a refstr=QUELOZ_ET_AL__2000 href=https://ui.adsabs.harvard.edu/abs/2000A&A...354...99Q/abstract target=ref> Queloz et al. 2000 </a>,0,32.6224785,-50.8209945,275.90766,-61.95722,15.76491,260,0.11,,2451225.1,0.04,0,2218.591653,2124.85,638.092,92.7042,10.7836,661.12,,33.7048,3.6,1.15,12.9,,4.42,1404.8086,0,5.88516,5.3588,4.06,4.081,GJ 86,GJ 86,,
GJ 876 b,b,1998-10,rv,<a refstr=MARCY_ET_AL__1998 href=https://ui.adsabs.harvard.edu/abs/1998ApJ...505L.147M/abstract target=ref> Marcy et al. 1998 </a>,0,343.3239737,-14.2665958,52.00313,-59.63511,61.1166,50.3,0.208317,59,2450602.093,0.0324,0,1171.1009489,957.961,-673.638,213.867,4.67517,190.6,,0.2857,1.69,1.19,13.3,,2.2756,723.2235,0,8.8753,7.57703,4.863,4.523,GJ 876,GJ 876,,
GJ 876 c,c,2001-07,rv,<a refstr=MARCY_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001ApJ...556..296M/abstract target=ref> Marcy et al. 2001 </a>,0,343.3239737,-14.2665958,52.00313,-59.63511,30.0881,48.76,0.12959,59,2450602.093,0.25591,0,1171.1009489,957.961,-673.638,213.867,4.67517,241.66,,0.7384,0.455,1.25,14,,0.7142,226.9846,0,8.8753,7.57703,4.863,4.523,GJ 876,GJ 876,,
GJ 876 d,d,2005-11,rv,<a refstr=RIVERA_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005ApJ...634..625R/abstract target=ref> Rivera et al. 2005 </a>,0,343.3239737,-14.2665958,52.00313,-59.63511,1.93778,234,0.02080665,59,2450602.093,0.207,0,1171.1009489,957.961,-673.638,213.867,4.67517,603.09,,28.6429,2.37,0.224,2.51,,0.021,6.83,0,8.8753,7.57703,4.863,4.523,GJ 876,GJ 876,,
GJ 876 e,e,2010-08,rv,<a refstr=RIVERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...719..890R/abstract target=ref> Rivera et al. 2010 </a>,0,343.3239737,-14.2665958,52.00313,-59.63511,124.26,239,0.3343,59,2450602.093,0.055,0,1171.1009489,957.961,-673.638,213.867,4.67517,150.46,,0.111,1.33,0.35,3.92,,0.046,14.6,0,8.8753,7.57703,4.863,4.523,GJ 876,GJ 876,,
GJ 887 b,b,2020-06,rv,<a refstr=JEFFERS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Sci...368.1477J/abstract target=ref>Jeffers et al. 2020</a>,0,346.5027573,-35.8473489,5.09735,-65.98674,9.2619,180,0.0683,,,0.14,0,6895.5462606,6765.99,1330.39,304.219,3.28679,426,,7.8,3.67,0.161,1.8,,0.01227077,3.9,0,6.52199,5.5664,,,GJ 887,GJ 887,,
GJ 887 c,c,2020-06,rv,<a refstr=JEFFERS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Sci...368.1477J/abstract target=ref>Jeffers et al. 2020</a>,0,346.5027573,-35.8473489,5.09735,-65.98674,21.784,200,0.121,,,0.17,0,6895.5462606,6765.99,1330.39,304.219,3.28679,320,,2.5,2.49,0.217,2.43,,0.02045129,6.5,0,6.52199,5.5664,,,GJ 887,GJ 887,,
GJ 887 d,d,2026-03,rv,<a refstr=HARTOGH_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A..93H/abstract target=ref>Hartogh et al. 2026</a>,0,346.5027573,-35.8473489,5.09735,-65.98674,50.77,,0.212,,,,0,6895.5462606,6765.99,1330.39,304.219,3.28679,241,,0.81,2.62,0.209,2.34,,0.01919275,6.1,0,6.52199,5.5664,,,GJ 887,GJ 887,,
GJ 887 e,e,2026-03,rv,<a refstr=HARTOGH_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...707A..93H/abstract target=ref>Hartogh et al. 2026</a>,0,346.5027573,-35.8473489,5.09735,-65.98674,4.4249,,0.0417,,,,0,6895.5462606,6765.99,1330.39,304.219,3.28679,544,,20.9,5.71,0.0999,1.12,,0.00459367,1.46,0,6.52199,5.5664,,,GJ 887,GJ 887,,
GJ 896 A b,b,2022-09,ast,<a refstr=CURIEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...93C/abstract target=ref>Curiel et al. 2022</a>,0,352.9700384,19.9370011,98.57856,-39.14311,284.39,353.11,0.63965,69.2,2455702.65,0.35,0,580.6759005,577.605,-59.6403,159.71,6.26022,126.7,,0.0429,1.68,1.19,13.3,,2.26,718.29219982,0,9.03758,7.79421,,,GJ 896 A,GJ 896,,
GJ 900 b,b,2024-06,ima,<a refstr=ROTHERMICH_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..253R/abstract target=ref>Rothermich et al. 2024</a>,0,353.7526177,1.6055211,87.24859,-55.87877,,,12000,,,,0,340.9917681,339.797,28.5199,48.0331,20.8065,1.48,,0,10.1,1.11,12.4,,11,3496.112477,0,9.02571,8.03,,,GJ 900 A,GJ 900,,
GJ 9066 c,c,2020-10,rv,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..250...29F/abstract target=ref>Feng et al. 2020</a>,0,30.0588307,13.0443172,147.66932,-46.49657,771.36,321.79,0.88,,2451411.05,0.46,0,2084.5806325,1096.56,-1772.86,223.635,4.471,65.66,,0.0033,0.415,0.856,9.6,,0.21,66.74396547,0,10.6711,9.29741,,,GJ 9066,GJ 9066,,
GJ 9404 b,b,2023-08,rv,<a refstr=BAYCROFT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023RNAAS...7..175B/abstract target=ref>Baycroft et al. 2023</a>,0,184.8472095,28.3827126,201.04684,82.80097,13.4586,109,0.0943,,2457095.3,0.49,0,652.5197868,-647.719,79.0074,41.8403,23.8839,473.5,,11.2454,1.55,0.31,3.48,,0.03744159,11.9,0,9.87021,8.85,,,GJ 9404,GJ 9404,,
GJ 96 b,b,2018-10,rv,<a refstr=HOBSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A.103H/abstract target=ref>Hobson et al. 2018</a>,0,35.5624031,47.8802075,138.29282,-12.26466,73.94,339.58,0.291,,2455556.39,0.44,0,219.8002602,215.926,41.0867,83.7829,11.9315,257.81,,1.0486,1.06,0.417,4.67,,0.06185697,19.66,0,8.63186,7.64213,5.464,5.254,GJ 96,GJ 96,,
GJ 9689 b,b,2021-07,rv,<a refstr=MALDONADO_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..93M/abstract target=ref>Maldonado et al. 2021</a>,0,303.467731,13.3888921,54.62427,-11.48747,18.27,173.73,0.1139,,2456406.17,0.29,0,422.35657,421.921,19.1766,32.6292,30.6203,453.04,,4.8635,1.83,0.274,3.07,,0.0303623,9.65,0,10.5372,9.54885,,,GJ 9689,GJ 9689,,
GJ 9714 b,b,2022-09,rv,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,0,315.4141767,-32.5250028,12.01411,-40.46332,19240.75467,92.13,12.319,155.326,2443730.985,0.155,0,274.8058078,246.31,-121.859,48.7229,20.5121,47.68,,0.0009,8.41,1.12,12.5,,9.403,2988.54051102,0,8.8377,8.0848,,,GJ 9714,HIP 103768,,
GJ 9773 b,b,2025-08,rv,<a refstr=MORALES_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...700A.242M/abstract target=ref>Morales et al. 2025</a>,0,333.1502333,8.5503355,70.11203,-37.53603,2965,99,2.921,,,0.218,0,678.8734907,106.8,-670.42,62.781,15.9211,59.89,,0.0021,0.331,1.26,14.2,,0.543,172.580825,0,10.9047,9.73363,,,GJ 9773,GJ 9773,,
GJ 9827 b,b,2017-12,tran,<a refstr=NIRAULA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..266N/abstract target=ref>Niraula et al. 2017</a>,0,351.7717763,-1.2853435,81.34803,-57.18299,1.208974,,0.0189,87.6,2457738.8259,0,0,433.6784124,376.019,216.071,33.6855,29.661,1035.01,,318,7.858,0.12846842,1.44,,0.01346639,4.28,0,9.83773,9.0684,6.99,6.957,GJ 9827,GJ 9827,6.719,0.3
GJ 9827 c,c,2017-12,tran,<a refstr=NIRAULA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..266N/abstract target=ref>Niraula et al. 2017</a>,0,351.7717763,-1.2853435,81.34803,-57.18299,3.648103,,0.0395,89.09,2457742.2,0,0,433.6784124,376.019,216.071,33.6855,29.661,715.94,,73,7.142,0.10081202,1.13,,0.00585221,1.86,0,9.83773,9.0684,6.99,6.957,GJ 9827,GJ 9827,14.04,0.23
GJ 9827 d,d,2017-12,tran,<a refstr=NIRAULA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..266N/abstract target=ref>Niraula et al. 2017</a>,0,351.7717763,-1.2853435,81.34803,-57.18299,6.20183,,0.053,87.41,2457740.9611,0,0,433.6784124,376.019,216.071,33.6855,29.661,675,,34.9,2.51,0.17664407,1.98,,0.00950198,3.02,2,9.83773,9.0684,6.99,6.957,GJ 9827,GJ 9827,19.739,0.891
GPX-1 b,b,2021-08,tran,<a refstr=BENNI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.4956B/abstract target=ref>Benni et al. 2021</a>,0,38.3691648,56.025708,136.89331,-4.05517,1.744579,,0.0338,79.9,,0,0,3.252516,-3.2521,0.052018,1.49895,655.013,2300,0.1,4650,8.222423,1.47,16.47720163,,19.7,6261.2196179,0,12.2228,11.9004,11.1,8.371,GPX-1,GPX-1,4.67,0.82
GQ Lup b,b,2005-05,ima,<a refstr=NEUHAUSER_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...435L..13N/abstract target=ref> Neuhauser et al. 2005 </a>,0,237.3003643,-35.6515055,338.9253,14.51078,,,100,,,,0,27.5688043,-14.2572,-23.596,6.58678,151.169,2650,,0.0001,0.921,3,33.6,,20,6356,0,11.2608,10.3965,6.125,2.379,GQ Lup,GQ Lup,,
GSC 06214-00210 b,b,2011-01,ima,<a refstr=IRELAND_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726..113I/abstract target=ref> Ireland et al. 2011 </a>,0,245.4776921,-20.7193398,355.26184,20.12464,,,320,,,,0,36.7688781,-19.3788,-31.2476,9.18797,108.5,2300,,0,3.35,1.8,20.1762,,16,5000,0,11.8633,11.0754,9.099,8.138,GSC 06214-00210,GSC 06214-00210,,
GU Psc b,b,2014-05,ima,<a refstr=NAUD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787....5N/abstract target=ref> Naud et al. 2014 </a>,0,18.146485,17.0650029,130.15305,-45.51002,,,2000,,,,0,139.5744596,96.6423,-100.704,21.0019,47.5501,1050,,0,6.92,1.265,14.179,,11.3,3591.3,0,12.9656,11.7605,9.256,8.404,GU Psc,GU Psc,,
Gaia-1 b,b,2022-07,tran,<a refstr=PANAHI_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...663A.101P/abstract target=ref>Panahi et al. 2022</a>,0,90.6436658,-0.5771099,207.81493,-11.12207,3.052524,,0.04047,85.73,,,0,41.1104394,5.93345,-40.68,2.72112,363.66,1159.07,,426.5351,1.12,1.229,13.77583728,,1.68,533.95172376,0,12.9988,12.4821,11.213,8.994,Gaia-1,Gaia-1,,
Gaia-2 b,b,2022-07,tran,<a refstr=PANAHI_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...663A.101P/abstract target=ref>Panahi et al. 2022</a>,0,110.7353308,67.2526565,148.61097,27.88329,3.6915224,,0.0467,85.21,,,0,25.003903,6.90662,24.0311,4.75066,209.229,1213.23,,512.0235,0.439,1.322,14.81827249,,0.817,259.66580852,0,11.1968,10.7447,9.716,9.006,Gaia-2,Gaia-2,,
Gaia-4 b,b,2025-02,ast,<a refstr=STEF_AMP_AACUTE_NSSON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..107S/abstract target=ref>Stef&aacute;nsson et al. 2025</a>,0,209.5063762,31.6954898,54.40658,74.81543,571.3,180.3,,116.9,2457386.1,0.338,0,77.6711421,-75.5401,18.0693,13.5797,73.4829,,,,10.8,1.1,12.4,,11.8,3750.3752026,0,11.9187,11.1045,9.056,8.86,Gaia-4,Gaia-4,,
Gaia-5 b,b,2025-02,ast,<a refstr=STEF_AMP_AACUTE_NSSON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169..107S/abstract target=ref>Stef&aacute;nsson et al. 2025</a>,0,302.0408173,41.9415455,78.0844,5.00609,358.62,271.54,,129.7,2457428.5,0.6423,0,128.7006632,102.569,77.7397,24.2541,41.1813,,,,20.6,1.08,12.1,,20.87,6633.07885409,0,13.2287,12.0628,9.58,8.444,Gaia-5,Gaia-5,,
Gaia22dkvL b,b,2024-08,micro,<a refstr=WU_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...62W/abstract target=ref>Wu et al. 2024</a>,0,151.769,-66.1808889,287.36784,-8.41018,,,1.4,,,,0,,,,,1270,,,,0.368,1.26,14.1,,0.591,187.83658854,0,,,,,Gaia22dkvL,Gaia22dkvL,,
Gl 378 b,b,2019-05,rv,<a refstr=HOBSON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..18H/abstract target=ref>Hobson et al. 2019</a>,0,150.5865513,48.0824515,168.74261,51.19188,3.822,210.6,0.039435,,2455500.02,0.109,0,1605.1016236,-633.076,-1474.98,66.8407,14.9545,830,,38.5823,1.46,0.327,3.66,,0.0409653,13.02,0,9.26515,8.25157,,,Gl 378,Gl 378,,
Gl 410 b,b,2025-08,rv,<a refstr=CARMONA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...700A.222C/abstract target=ref>Carmona et al. 2025</a>,0,165.6604212,21.9669164,218.75093,64.78003,6.02,,0.0531,,2459646.59,,0,152.0038802,142.849,-51.9552,83.7765,11.9324,592.44,,20.4555,2.04,0.253,2.83,,0.02642936,8.4,0,8.807,7.80973,5.65,5.421,Gl 410,Gl 410,,
Gl 49 b,b,2019-04,rv,<a refstr=PERGER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A.123P/abstract target=ref>Perger et al. 2019</a>,0,15.6687321,62.3454386,124.23545,-0.49786,13.8508,43,0.0905,,2455995.88,0.363,0,736.7380754,731.135,90.6896,101.465,9.8528,435.99,,6.0291,2.75,0.2,2.24,,0.01771387,5.63,0,8.66282,7.59661,5.302,5.086,Gl 49,Gl 49,,
Gl 686 b,b,2019-02,rv,<a refstr=AFFER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A.193A/abstract target=ref>Affer et al. 2019</a>,0,264.4764878,18.5959509,42.24615,24.29465,15.53,197.062,0.091,,2457805.69,0.05,0,1352.2119149,926.741,984.697,122.561,8.15728,379,,3.5638,2.45,0.22,2.46,,0.02084133,6.624,0,8.73899,7.69224,,,Gl 686,Gl 686,,
Gl 725 A b,b,2025-01,rv,<a refstr=CORTES_ZULETA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A.164C/abstract target=ref>Cort&eacute;s-Zuleta et al. 2025</a>,0,280.6834312,59.638109,89.29524,24.23792,11.2201,0,0.068,,2458597.7,0,0,2221.0396216,-1311.91,1792.18,283.949,3.5214,376.1,,3.3572,4.71,0.132,1.48,,0.00874686,2.78,0,7.84944,6.724,,,Gl 725 A,Gl 725,,
Gliese 12 b,b,2024-06,tran,<a refstr=KUZUHARA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...967L..21K/abstract target=ref>Kuzuhara et al. 2024</a>,0,3.9579137,13.5576175,109.835,-48.40659,12.761418,-16,0.067,89.25,,0.24,0,700.2704562,618.003,329.319,81.8711,12.21,314.6,,1.62,6.4,0.08296919,0.93,,0.00298903,0.95,0,11.3963,10.1769,,,Gliese 12,Gliese 12,55.2,0.75
HAT-P-1 b,b,2007-02,tran,<a refstr=BAKOS_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...656..552B/abstract target=ref>Bakos et al. 2007</a>,0,344.4453632,38.674919,99.79172,-19.03641,4.46529976,253.1,0.05561,85.634,2463897.11172,0,0,52.8378021,32.3837,-41.7508,6.26153,158.979,1322,,259.687,0.282,1.319,14.784671,,0.525,166.86075,7,10.1786,9.76031,8.732,8.37,HAT-P-1,HAT-P-1,9.853,0.7501
HAT-P-11 b,b,2010-02,tran,<a refstr=BAKOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...710.1724B/abstract target=ref> Bakos et al. 2010 </a>,0,297.7101763,48.0818635,81.83486,10.77239,4.888,28,0.05258,89.027,2454957.15,0.251,0,264.8686021,125.984,232.988,26.4508,37.7647,838,0.000695,100.77,1.172,0.38897315,4.36,104.9,0.0787,25,3,9.15098,8.5077,6.919,6.867,HAT-P-11,HAT-P-11,16.7184,0.227
HAT-P-11 c,c,2018-06,rv,<a refstr=YEE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..255Y/abstract target=ref>Yee et al. 2018</a>,0,297.7101763,48.0818635,81.83486,10.77239,3361,142.1,4.1,33.1,2456867,0.652,0,264.8686021,125.984,232.988,26.4508,37.7647,91.58,,0.0161,2.04,1.18,13.2,,2.68,851.78013076,0,9.15098,8.5077,6.919,6.867,HAT-P-11,HAT-P-11,,
HAT-P-12 b,b,2009-11,tran,<a refstr=HARTMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...706..785H/abstract target=ref> Hartman et al. 2009 </a>,0,209.3886452,43.49331,87.99255,68.87632,3.2130598,354.3,0.0384,89,2464187.027,0,0,141.8823722,-134.791,-44.2944,6.97632,142.751,963,,118.075,0.3192,0.959,10.749,,0.211,67.059,19,12.4197,11.7551,10.077,8.49,HAT-P-12,HAT-P-12,11.77,0.211
HAT-P-13 b,b,2009-12,tran,<a refstr=BAKOS_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...707..446B/abstract target=ref> Bakos et al. 2009 </a>,0,129.8823772,47.3519076,172.49839,37.54198,2.91625,210,0.04383,83.4,2455176.53877,0.0133,0,35.7342909,-24.1415,-26.3463,4.02313,246.81,1740,,1978.5245,0.340833,1.272,14.258,,0.851,270.462,0,10.4168,9.9596,8.962,8.925,HAT-P-13,HAT-P-13,5.8928,0.679
HAT-P-13 c,c,2009-12,rv,<a refstr=BAKOS_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...707..446B/abstract target=ref> Bakos et al. 2009 </a>,0,129.8823772,47.3519076,172.49839,37.54198,446.27,175.29,1.258,,2455312.8,0.6616,0,35.7342909,-24.1415,-26.3463,4.02313,246.81,340,,1.4016,13.4,1.1,12.3,,14.28,4538.421,0,10.4168,9.9596,8.962,8.925,HAT-P-13,HAT-P-13,,
HAT-P-14 b,b,2010-05,tran,<a refstr=TORRES_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...715..458T/abstract target=ref> Torres et al. 2010 </a>,0,260.1161719,38.2421682,62.58916,33.53751,4.62767,106.1,0.0596,83.5,,0.11,0,7.0779684,2.24068,-6.71394,4.46233,222.663,1624,,1038.78,1.56,1.42,15.91678,,3.44,1093.3352,7,9.87283,9.54417,8.805,8.761,HAT-P-14,HAT-P-14,8.9,0.9072
HAT-P-15 b,b,2010-12,tran,<a refstr=KOVACS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...724..866K/abstract target=ref> Kovacs et al. 2010 </a>,0,66.248142,39.460602,161.55863,-6.8916,10.8635,262,0.0965,89.1,,0.19,0,17.186859,14.4034,-9.37711,5.16638,192.516,904,,79.7578,1.96,1.06,11.88154,,1.94,616.5902,0,11.7232,11.0878,9.601,8.441,HAT-P-15,HAT-P-15,19.25,0.342
HAT-P-16 b,b,2010-09,tran,<a refstr=BUCHHAVE_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...720.1118B/abstract target=ref> Buchhave et al. 2010 </a>,0,9.5730343,42.4630961,120.34675,-20.34266,2.77596727,213,0.0413,88.4,,0.0462,0,22.0468365,-21.5641,-4.58831,4.38591,226.637,1566,,1597.59,2.479989,1.31,14.68376472,,4.221,1341.56043,1,10.7568,10.374,9.506,8.681,HAT-P-16,HAT-P-16,7.73,0.22
HAT-P-17 b,b,2012-04,tran,<a refstr=HOWARD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...749..134H/abstract target=ref> Howard et al. 2012 </a>,0,324.5359781,30.4881882,80.8515,-16.17689,10.33852,201,0.0892,89.2,2454803.25,0.35,0,150.2840947,-80.3954,-126.972,10.796,92.3831,800,,110.512,0.44,1.05,11.76945,,0.58,184.3414,0,10.2743,9.7525,8.506,8.065,HAT-P-17,HAT-P-17,22.72,0.47
HAT-P-17 c,c,2012-04,rv,<a refstr=HOWARD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...749..134H/abstract target=ref> Howard et al. 2012 </a>,0,324.5359781,30.4881882,80.8515,-16.17689,5584,181.5,5.6,,2454885,0.39,0,150.2840947,-80.3954,-126.972,10.796,92.3831,99.59,,0.0164,2.64,1.17,13.1,,3.4,1080.6,0,10.2743,9.7525,8.506,8.065,HAT-P-17,HAT-P-17,,
HAT-P-18 b,b,2011-01,tran,<a refstr=HARTMAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...52H/abstract target=ref> Hartman et al. 2011 </a>,0,256.346376,33.0123251,55.652,35.56176,5.508023,120,0.0559,88.8,2455706.7,0.084,0,39.2955032,-14.0729,-36.6891,6.16693,161.4,852,,82.2407,0.25,0.995,11.153,,0.197,62.61,5,12.3682,11.733,10.195,8.915,HAT-P-18,HAT-P-18,16.04,0.324
HAT-P-19 b,b,2011-01,tran,<a refstr=HARTMAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...52H/abstract target=ref> Hartman et al. 2011 </a>,0,9.5165832,34.7114025,119.8176,-28.07947,4.00878322,256,0.04599,89.52,,0.07,0,42.0916998,-26.7753,-32.4776,4.91998,202.078,981.2,,154,0.335,1.008,11.29865255,,0.277,88.03846874,2,12.5567,11.9475,10.495,8.691,HAT-P-19,HAT-P-19,12.84,0.404
HAT-P-2 b,b,2007-11,tran,<a refstr=BAKOS_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...670..826B/abstract target=ref> Bakos et al. 2007 </a>,0,245.1514324,41.0479601,65.02085,45.2323,5.6335158,188.01,0.06814,86.16,2463982.4915,0.5172,0,30.9650963,-10.312,-29.1976,7.79749,127.774,1540,0.0971,588.518,7.29,0.951,10.659759,,9.02,2866.81223114,2,8.59842,8.27468,7.571,7.567,HAT-P-2,HAT-P-2,10.28,0.457
