pl_name,pl_letter,disc_pubdate,disc_method,disc_refname,dkin_flag,ra,dec,glon,glat,pl_orbper,pl_orblper,pl_orbsmax,pl_orbincl,pl_orbtper,pl_orbeccen,cb_flag,sy_pm,sy_pmra,sy_pmdec,sy_plx,sy_dist,pl_eqt,pl_occdep,pl_insol,pl_dens,pl_radj,pl_rade,pl_trueobliq,pl_bmassj,pl_bmasse,pl_ntranspec,sy_gaiamag,sy_tmag,sy_w1mag,sy_w4mag,hostname,sy_name,pl_ratdor,pl_imppar
BD+37 3172 b,b,2023-12,rv,<a refstr=NIEDZIELSKI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AcA....73..291N/abstract target=ref>Niedzielski et al. 2023</a>,0,278.8155071,38.1153886,66.66421,19.31948,1887.76,100.07,4.65,,,0.59,0,12.8423881,-1.14883,12.7909,2.17277,454.251,713.25,,31.9959,9.71,1.11,12.4,,10.6,3368.9811142,0,8.84772,8.1867,6.439,6.39,BD+37 3172,BD+37 3172,,
BD+42 2315 b,b,2023-12,rv,<a refstr=NIEDZIELSKI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AcA....73..291N/abstract target=ref>Niedzielski et al. 2023</a>,0,187.5887597,41.2695674,138.62406,75.20995,123.05,109.2,0.54,,,0.73,0,23.7280299,19.6474,-13.3041,1.60885,610.715,1247.58,,335.1294,0.335,1.26,14.2,,0.55,174.80562385,0,9.43036,8.809,7.07,7.184,BD+42 2315,BD+42 2315,,
BD+45 564 b,b,2021-07,rv,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,0,32.9470485,45.9242187,137.23205,-14.70463,307.88,70.31,0.83,2.579,,0.12,0,278.1169411,278.024,-7.18946,18.6205,53.622,238.82,,0.579,0.944,1.21,13.6,,1.36,432.24663352,0,9.41266,8.8588,,,BD+45 564,BD+45 564,,
BD+48 738 b,b,2012-01,rv,<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...28G/abstract target=ref> Gettel et al. 2012 </a>,0,40.7102869,49.5869395,140.80848,-9.3787,392.6,358.9,1,,2454457.7,0.2,0,6.8809607,2.80708,-6.28235,1.12086,871.493,705.93,,48.9779,0.592,1.24,13.9,,0.91,289.2253,0,8.65569,7.8885,5.887,5.746,BD+48 738,BD+48 738,,
BD+48 740 b,b,2018-05,rv,<a refstr=ADAM_OACUTE_W_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..47A/abstract target=ref>Adam&oacute;w et al. 2018</a>,0,40.7425426,48.9300579,141.10904,-9.96534,733,100,1.7,,2454774.5,0.76,0,5.2489645,-5.12477,-1.13506,1.47289,666.589,538.94,,15.1044,1.21,1.2,13.5,,1.7,540.311,0,8.26449,7.5248,5.555,5.479,BD+48 740,BD+48 740,,
BD+49 828 b,b,2015-04,rv,<a refstr=NIEDZIELSKI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...803....1N/abstract target=ref>Niedzielski et al. 2015</a>,0,45.6406187,49.7299481,143.61792,-7.80173,2590,170,4.2,,2455470.5,0.35,0,12.3367029,7.65456,-9.67481,2.2342,442.042,320.63,,1.673,1.14,1.21,13.5,,1.6,508.5,0,9.02851,8.32678,6.503,6.363,BD+49 828,BD+49 828,,
BD+55 362 b,b,2021-07,rv,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,0,23.9636676,56.6982282,129.03163,-5.64657,265.59,-134.44,0.78,0.6012,2458194.19,0.27,0,341.3577474,264.142,-216.227,18.9935,52.5697,259.06,,0.7996,0.458,1.25,14,,0.72,228.83645304,0,9.15305,8.6036,,,BD+55 362,BD+55 362,,
BD+60 1417 b,b,2021-12,ima,<a refstr=FAHERTY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...923...48F/abstract target=ref>Faherty et al. 2021</a>,0,190.8875453,60.0143636,124.74559,57.0861,,,1662,,,,0,141.8849865,-126.501,-64.2561,22.2159,44.9543,1303,,0,8.27,1.31,14.68376472,,15,4767.426105,0,9.17439,8.6054,7.177,7.135,BD+60 1417,BD+60 1417,,
BD+63 1405 b,b,2021-07,rv,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,0,271.3979337,63.6700064,93.08126,29.1513,1198.48,94.25,2.06,5.974,2455771,0.88,0,249.4112585,-26.4761,248.002,26.2541,38.0473,150.69,,0.0911,9.53,1.11,12.4,,10.4,3305.4154328,0,8.705,8.1519,6.711,6.67,BD+63 1405,BD+63 1405,,
BD-06 1339 b,b,2013-03,rv,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,0,88.2511811,-5.9963378,211.65797,-15.71602,3.8728,0,0.0428,0.3243,2455220.5,0,0,346.7225761,-1.04543,-346.721,49.3062,20.2695,834.97,,51.8934,,,,,4.792,1523.03372634,0,9.10677,8.2906,6.266,6.213,BD-06 1339,BD-06 1339,,
