sy_name,sy_snum,sy_pnum,sy_mnum,cb_flag,ra,dec,glon,glat,sy_dist,sy_plx,sy_pm,sy_pmra,sy_pmdec,sy_gaiamag,sy_tmag,sy_vmag,sy_jmag,sy_kmag,sy_w1mag,sy_w4mag
Kepler-379,1,2,0,0,295.7010981,38.9458209,73.01937,7.63044,731.274,1.3387,3.3245586,-1.14757,-3.12022,13.3686,12.959,13.475,12.341,12.005,11.978,9.237001
Kepler-38,2,1,0,1,286.830312,42.2791434,73.05727,15.13897,1174.59,0.822516,13.9555186,-4.64813,-13.1587,13.9066,13.4314,14.015,12.73,12.342,12.244,9.429
Kepler-380,1,2,0,0,282.3947017,48.7591334,78.25942,20.34266,813.713,1.2003,11.1729449,11.0199,1.84296,13.6113,13.2133,13.74,12.614,12.289,12.24,9.509
Kepler-381,1,3,0,0,285.1828685,43.8310283,74.0723,16.8434,267.323,3.71205,19.8896619,14.9652,-13.1012,10.5459,10.2174,10.47,9.721,9.504,9.478,8.969
Kepler-382,1,2,0,0,299.1362435,45.8699582,80.36831,8.83576,935.446,1.0407,12.0804005,9.34931,7.65026,14.6662,14.1132,14.907,13.403,12.89,12.854,9.068
Kepler-383,1,2,0,0,291.3426078,38.3631616,70.89567,10.37328,470,,8.7875231,1.40405,8.67463,15.0655,14.3821,15.473,13.367,12.674,12.656,9.327
Kepler-384,1,2,0,0,286.0261113,44.7828571,75.22928,16.63717,895.678,1.08762,4.4636957,2.81777,-3.4619,13.5538,13.0988,13.734,12.419,12.038,11.989,9.219
Kepler-385,1,3,0,0,294.3385109,50.3365178,82.84035,13.76677,1432.61,0.669369,5.9892617,2.63667,-5.37766,15.192,14.7468,15.76,14.156,13.819,13.723,9.552
Kepler-386,1,2,0,0,289.8589165,48.6938077,80.03966,15.72041,882.462,1.10529,11.17137,7.34435,-8.41784,15.6172,15.0254,15.949,14.183,13.605,13.467,8.874
Kepler-387,1,2,0,0,287.7982699,45.6567655,76.5661,15.81604,801.052,1.21959,15.5034302,13.5666,7.50358,13.9345,13.524,14.129,12.909,12.536,12.52,9.234
Kepler-388,1,2,0,0,284.8280577,44.6086451,74.73194,17.36479,425,1.6358009,19.2335692,0.423778,-19.2289,15.0015,14.2916,15.218,13.261,12.544,12.512,9.398
Kepler-389,1,2,0,0,291.9600082,44.9000587,77.09593,12.83567,816.559,1.19668,6.6350715,1.94621,6.34322,15.7495,15.1697,15.769,14.417,13.896,13.786,9.106
Kepler-39,1,1,0,0,296.9603348,46.0342954,79.75961,10.23403,1057.41,0.917064,4.5232073,3.89046,-2.30732,14.2622,13.8261,14.355,13.236,12.918,12.858,8.76
Kepler-390,2,2,0,0,291.6288086,41.2088351,73.59209,11.43915,435.277,2.26866,52.2927929,6.65728,51.8673,13.9222,13.374,14.231,12.584,12.075,12.045,8.983
Kepler-391,1,2,0,0,290.6218844,51.0573453,82.49921,16.20638,869.236,1.12166,12.7884256,10.2964,7.58472,12.984,12.395,13.177,11.564,10.97,10.928,9.172
Kepler-392,1,2,0,0,288.660826,43.3681938,74.64383,14.34264,681.428,1.43873,28.1610539,12.5123,25.2287,13.4218,13.029,13.528,12.414,12.121,12.078,8.789
Kepler-393,1,2,0,0,290.995205,45.192188,77.06756,13.57678,881.404,1.10585,11.3914196,-8.0295,-8.08032,13.1783,12.8235,13.258,12.325,11.995,12.002,9.277
Kepler-394,1,3,0,0,296.3019792,50.6723115,83.72613,12.80293,1058.72,0.916013,4.8288131,3.21776,-3.60048,14.77,14.3437,14.948,13.724,13.384,13.33,9.554
Kepler-395,1,2,0,0,293.5111889,45.1366252,77.80798,11.95556,421.382,2.34555,14.7384612,12.963,7.01305,15.9585,15.0088,16.5919,13.818,12.948,12.893,9.037
Kepler-396,1,2,0,0,296.1328135,48.9773095,82.13508,12.11636,223.757,4.44064,16.114782,2.45812,-15.9262,11.8286,11.3523,12.259,10.672,10.285,10.241,9.409
Kepler-397,1,2,0,0,295.8940373,42.3805156,76.13477,9.15365,969,,5.1794612,-5.12176,-0.770969,,15.484,16.357,14.587,13.9,13.98,9.192
Kepler-398,1,3,0,0,291.4688524,40.3437001,72.746,11.16571,177.355,5.6095,44.396093,30.6636,-32.1054,13.2351,12.5199,13.499,11.514,10.794,10.728,8.791
Kepler-399,1,3,0,0,299.5017242,40.6707669,75.99132,5.96067,740.537,0.7341165,9.2584978,3.25698,8.66671,14.5277,13.9919,14.686,13.175,12.698,12.557,9.183
Kepler-4,1,1,0,0,285.6154492,50.1357712,80.37016,18.81834,487.916,2.02093,7.6063536,6.00259,4.67178,12.1577,11.7266,12.285,11.122,10.805,10.744,9.323
Kepler-40,1,1,0,0,296.8136883,47.5265446,81.04474,11.03503,2305.01,0.405118,6.9331051,-1.53612,-6.76079,14.5591,14.1348,14.657,13.536,13.27,13.218,9.46
Kepler-400,1,2,0,0,290.9444679,40.4800528,72.6919,11.58428,845.97,,4.907312,-3.9262,-2.94392,13.8395,13.4029,13.762,12.566,12.296,12.203,8.359
Kepler-401,1,3,0,0,290.0827494,50.8634361,82.1743,16.44236,965.56,1.00691,10.9080352,-1.26188,-10.8348,13.2865,12.883,13.366,12.277,11.987,11.936,9.6
Kepler-402,1,4,0,0,288.3701976,43.3546109,74.54275,14.53038,625.339,1.57041,4.4218604,-4.30314,1.01776,13.1917,12.8187,13.27,12.303,11.993,11.924,9.354
Kepler-403,1,3,0,0,289.9214256,46.7445267,78.20628,14.89907,840.269,1.16154,13.807334,-5.90843,-12.4793,12.7598,12.3684,12.818,11.83,11.537,11.442,9.16
Kepler-404,1,2,0,0,286.3985796,45.3435241,75.87463,16.60325,812.524,1.20213,6.654775,-5.57527,-3.63351,15.1906,14.6698,15.479,13.908,13.477,13.41,9.422
Kepler-405,1,2,0,0,291.4094615,38.3400107,70.89842,10.31603,1065.08,0.91164,1.7327855,-0.858001,-1.50545,15.8023,15.285,16.181,14.543,14.056,14.124,8.963
Kepler-406,1,2,0,0,291.8481764,44.9682807,77.1239,12.93656,364.03,2.71841,17.8047664,16.9322,5.50548,12.4897,12.011,12.603,11.34,10.97,10.934,8.932
Kepler-407,1,2,0,0,286.0363025,49.6145027,79.95374,18.383,338.368,2.92662,3.5804502,-3.54314,-0.515541,12.5074,12.0108,12.603,11.332,10.911,10.865,9.604
Kepler-408,1,1,0,0,284.7862158,48.4232622,78.47517,18.73849,88.7832,11.2346,10.4238443,4.58455,9.36154,8.6992,8.327,8.834,7.784,7.486,7.445,7.433
Kepler-409,1,1,0,0,293.6792058,46.8527337,79.43306,12.6169,68.173,14.6396,7.606681,4.66623,-6.00732,9.39109,8.8932,9.636,8.2,7.768,7.707,7.72
