sy_name,sy_snum,sy_pnum,sy_mnum,cb_flag,ra,dec,glon,glat,sy_dist,sy_plx,sy_pm,sy_pmra,sy_pmdec,sy_gaiamag,sy_tmag,sy_vmag,sy_jmag,sy_kmag,sy_w1mag,sy_w4mag
11 Com,2,1,0,0,185.1787793,17.7932516,264.13775,78.28058,93.1846,10.7104,140.3836266,-109.241,88.1701,4.44038,3.8379,4.72307,2.943,2.282,0.639,2.27
11 UMi,1,1,0,0,229.2745954,71.8239428,108.719,41.04437,125.321,7.95388,10.6790187,3.42996,10.1132,4.56216,3.82294,5.013,2.876,1.939,-0.29,1.787
14 And,1,1,0,0,352.82415,39.2358367,106.41269,-21.05141,75.4392,13.2289,299.2526179,287.292,-83.7582,4.91781,4.3214,5.23133,3.019,2.331,1.592,2.719
14 Her,1,2,0,0,242.6021014,43.8163621,69.16849,46.94447,17.9323,55.7363,324.5303062,132.019,-296.464,6.383,5.8631,6.61935,5.158,4.714,4.676,4.674
16 Cyg,3,1,0,0,295.4656422,50.5168243,83.33558,13.20446,21.1397,47.2754,211.1222128,-134.791,-162.493,6.06428,5.6281,6.215,4.993,4.651,4.773,4.713
17 Sco,1,1,0,0,243.4620874,-11.8377905,1.30262,27.34301,124.953,7.9805,10.6681995,-5.62983,-9.06176,4.75429,3.97655,5.22606,2.943,2.094,0.122,1.931
18 Del,2,1,0,0,314.6078375,10.8391378,58.69121,-21.9748,76.222,13.0922,60.6038527,-50.0335,-34.1976,5.27476,4.7181,5.51048,4.032,3.366,3.37,3.308
1RXS J160929.1-210524,1,1,0,0,242.3762343,-21.0831403,352.8905,22.03031,139.135,7.15949,25.3771704,-10.2743,-23.2043,12.0572,11.1941,12.618,9.82,8.916,8.794,8.531
24 Boo,1,1,0,0,217.1555242,49.8446488,90.16373,60.6447,95.9863,10.39,307.6469784,-304.064,-46.8161,5.3339,4.7812,5.59,3.845,3.159,,
24 Sex,1,2,0,0,155.8684866,-0.9023998,245.08569,44.7158,72.0691,13.8488,74.6277468,65.2199,-36.2721,6.20374,5.6416,6.4535,5.292,4.285,4.094,4.201
2MASS J01033563-5515561,2,1,0,1,15.8992489,-55.2658291,299.26888,-61.77586,47.2,,,,,,12.089,15.788,10.162,9.237001,9.047,7.817
2MASS J01225093-2439505,1,1,0,0,20.7128012,-24.6646128,195.45385,-82.5199,33.8281,29.5326,172.4426671,120.455,-123.398,12.9025,11.6243,14.244,10.084,9.198,9.022,8.298
2MASS J02192210-3925225,1,1,0,0,34.8427046,-39.4230767,252.45343,-67.98402,40.08964117,24.9440995,109.6,103.6,-35.9,15.0123,13.4304,,11.381,10.404,10.148,9.001
2MASS J0249-0557,2,1,0,1,42.4851627,-5.9599921,181.3869,-54.7665,66.0613,15.1097,60.6305959,48.657,-36.1741,15.6894,14.0996,18.3,11.963,11.055,10.844,8.919
2MASS J03590986+2009361,1,1,0,0,59.7911026,20.1599759,171.7948,-24.41615,117.435,8.49183,14.9790197,4.95139,-14.137,16.9967,15.4702,,13.479,12.533,12.222,8.977
2MASS J04372171+2651014,1,1,0,0,69.3405531,26.8502997,172.81975,-13.44593,128.484,7.75524,28.3362604,8.63445,-26.9887,14.3374,13.0123,16.186,11.298,10.386,10.284,7.992
2MASS J04414489+2301513,1,1,0,0,70.4371079,23.0308544,176.51065,-15.11435,120.42398696,8.3039935,23.2,9,-21.4,18.9668,17.1815,,14.419,13.161,,
2MASS J11011926-7732383,1,1,0,0,165.3295388,-77.5440912,296.98009,-15.96361,,,,,,18.3299,16.7448,,13.096,11.632,11.218,8.634
2MASS J11550485-7919108,1,1,0,0,178.7691634,-79.3197558,300.23137,-16.7447,100.862,9.88618,41.4066261,-41.179,-4.33574,14.818,13.344,16.957,11.216,10.079,9.89,7.155
2MASS J12073346-3932539,1,1,0,0,181.8890906,-39.5484399,293.79011,22.54309,64.308,15.5242,68.3315134,-64.0825,-23.7198,17.4076,15.662,20.15,12.995,11.945,11.574,8.121
2MASS J16262785-2625152,1,1,0,0,246.6160467,-26.4209954,351.50197,15.56434,145.434,6.84881,28.1695767,-5.62232,-27.6028,14.1017,12.9013,15.902,10.841,9.845,9.648,8.528
2MASS J19383260+4603591,2,3,0,1,294.6359173,46.0664076,79.01876,11.67426,396.332,2.49522,6.9650162,5.19637,-4.6378,12.1376,12.4561,12.651,12.757,12.955,12.862,9.203
2MASS J21252752-8138278,1,1,0,0,321.3662989,-81.6414894,310.65078,-32.11971,34.1154,29.2836,123.2290771,59.8428,-107.723,10.8133,9.71772,11.804,8.239,7.341,7.242,6.953
2MASS J22362452+4751425,1,1,0,0,339.1025931,47.861683,100.74846,-9.10923,69.5737,14.3444,69.8897974,62.8913,-30.4839,11.9484,11.1286,12.368,9.975,9.148,9.058,8.731
2MASS J22501512+2325342,1,1,0,0,342.5634097,23.4259058,90.0162,-31.58894,57.2309,17.4443,95.1764718,70.2294,-64.237,13.5759,12.3193,14.784,10.707,9.833,9.722,8.591
4 UMa,1,1,0,0,130.0528099,64.3280504,151.35882,35.95654,73.4603,13.5901,66.6571379,-61.2227,26.362,4.23773,3.5681,4.5801,2.619,1.734,-0.342,1.755
47 UMa,1,3,0,0,164.8647611,40.4304931,175.78305,63.3677,13.7967,72.4528,322.3708569,-317.642,55.0139,4.87837,4.4698,5.03352,3.96,3.75,3.556,3.553
51 Eri,3,1,0,0,69.4007424,-2.4738245,198.61297,-30.65764,29.7575,33.577,77.7287954,44.3523,-63.8329,5.15806,4.9574,5.21149,4.744,4.537,4.543,4.39
51 Peg,1,1,0,0,344.3675399,20.7690958,90.06374,-34.7275,15.4614,64.6488,216.4603396,207.363,62.094,5.28647,4.8576,5.45309,4.655,3.911,3.909,3.904
55 Cnc,2,7,0,0,133.167908,28.3152863,196.81868,37.71118,12.4773,80.1166,539.8833656,-481.204,-244.779,11.6798,10.3334,13.152,8.56,7.666,,
55 Cnc,2,7,0,0,133.1468373,28.3298154,196.79526,37.69663,12.5855,79.4274,539.1329986,-485.872,-233.651,5.72973,5.2058,5.95084,4.768,4.015,4.001,4.014
6 Lyn,1,1,0,0,97.6960311,58.1611753,156.97286,20.18918,54.6599,18.2668,340.0415405,-30.4214,-338.678,5.60686,5.0436,5.87307,4.272,3.701,3.662,3.589
61 Vir,1,3,0,0,199.596455,-18.3157745,311.85177,44.08875,8.50332,117.573,1508.8416272,-1070.81,-1063,4.54052,4.085,4.6955,3.334,2.956,2.144,2.986
7 CMa,1,2,0,0,99.171276,-19.2561808,228.68876,-11.79597,19.8101,50.4571,95.6229309,61.9916,-72.8065,3.67853,3.0677,3.95,2.173,1.564,-0.682,1.541
70 Vir,1,1,0,0,202.1064898,13.7763085,337.65749,74.0991,17.9011,55.8347,622.5685118,-235.562,-576.283,4.76178,4.2943,4.96808,3.798,3.5,2.49,3.186
75 Cet,2,2,0,0,38.0391598,-1.0350269,169.94418,-54.44177,82.9613,12.0264,38.5643962,-23.6193,-30.4851,5.09343,4.5054,5.3532,3.931,3.207,2.101,2.988
8 UMi,1,1,0,0,224.201685,74.9009379,112.79492,39.66099,162.552,6.12304,13.2836055,12.7947,3.57069,6.55896,5.96761,6.83295,5.069,4.515,4.468,4.415
81 Cet,1,1,0,0,39.4243555,-3.3963607,174.48697,-55.24995,101.26,9.84895,60.3912853,42.0657,-43.3311,5.37588,4.77853,5.64307,3.94,3.266,3.313,3.242
91 Aqr,3,1,0,0,348.9745031,-9.0878076,67.07416,-61.11327,44.0304,22.6884,368.7717896,368.372,-17.1669,3.95311,3.3221,4.23946,2.263,1.597,-0.368,1.698
AB Aur,1,1,0,0,73.9410446,30.5510888,172.49916,-7.98082,162.127,6.13996,24.429161,3.92615,-24.1116,7.07854,6.94321,7.076,5.936,4.23,3.289,-1.723
AB Pic,1,1,0,0,94.8039208,-58.0541184,266.94347,-26.93081,50.0475,19.9521,47.297973,14.3389,45.0721,8.8378,8.2763,9.13,7.576,6.981,6.897,6.829
AF Lep,1,1,0,0,81.7699216,-11.9011752,214.37435,-24.04116,26.8564,37.2061,52.1820484,17.0595,-49.3147,6.18644,5.7932,6.332,5.268,4.926,4.915,4.803
AT2021ueyL,1,1,0,0,324.5450417,26.4665694,77.91374,-19.06415,1040,,,,,,,,,,,
AU Mic,1,4,0,0,311.2911369,-31.34245,12.65304,-36.80401,9.7221,102.829,456.8630854,281.424,-359.895,7.84038,6.755,8.81,5.436,4.529,4.449,4.14
BD+03 2562,1,1,0,0,177.5647268,2.7601075,269.32522,61.57342,1070.63,0.903403,17.9285781,-17.5788,-3.52416,8.9977,8.2014,9.577,6.96,6.021,5.956,5.829
BD+05 4868,2,1,0,0,326.8614036,6.6053185,63.20153,-34.1737,43.5687,22.9235,231.4652001,205.457,106.6,9.84152,9.1886,10.158,8.113,7.448,7.225,7.247
BD+14 4559,1,1,0,0,318.4010002,14.6893834,64.41837,-22.63172,49.352,20.2337,233.993162,233.993,-0.27532,9.35108,8.7505,9.78,7.882,7.336,7.207,7.176
BD+15 2375,1,1,0,0,176.4820239,14.6163182,249.00212,70.27244,768.045,1.27327,30.7736087,-28.4698,-11.6827,9.9918,9.3605,10.41,8.372,7.718,7.649,7.425
BD+15 2940,1,1,0,0,240.09564,15.5467507,28.10432,44.78011,426.42,2.31689,44.5517499,15.1368,-41.9015,8.7178,8.1004,9.01,7.154,6.525,6.527,6.377
BD+20 2457,1,2,0,0,154.186782,19.8912626,216.04472,53.95226,1539.71,0.598497,46.8841645,-36.0773,-29.9425,9.22684,8.4752,9.743,7.299,6.42,6.38,6.191
BD+20 274,1,1,0,0,25.9203179,21.0052692,138.9742,-40.23345,1322.51,0.722619,3.7882796,0.191228,-3.78345,8.91613,8.1716,9.367,7.003,6.169,6.107,5.991
BD+20 594,1,1,0,0,53.6511231,20.5990205,166.7966,-28.05348,179.461,5.54366,63.0539428,36.5714,-51.3647,10.8644,10.4021,10.849,9.770001,9.368,9.31,8.976
BD+37 3172,1,1,0,0,278.8155071,38.1153886,66.66421,19.31948,454.251,2.17277,12.8423881,-1.14883,12.7909,8.84772,8.1867,9.162,7.149,6.496,6.439,6.39
BD+42 2315,1,1,0,0,187.5887597,41.2695674,138.62406,75.20995,610.715,1.60885,23.7280299,19.6474,-13.3041,9.43036,8.809,9.723,7.856,7.229,7.07,7.184
BD+45 564,1,1,0,0,32.9470485,45.9242187,137.23205,-14.70463,53.622,18.6205,278.1169411,278.024,-7.18946,9.41266,8.8588,9.67,8.063,7.557,,
BD+48 738,1,1,0,0,40.7102869,49.5869395,140.80848,-9.3787,871.493,1.12086,6.8809607,2.80708,-6.28235,8.65569,7.8885,9.139,6.704,5.904,5.887,5.746
BD+48 740,1,1,0,0,40.7425426,48.9300579,141.10904,-9.96534,666.589,1.47289,5.2489645,-5.12477,-1.13506,8.26449,7.5248,8.69,6.385,5.645,5.555,5.479
BD+49 828,1,1,0,0,45.6406187,49.7299481,143.61792,-7.80173,442.042,2.2342,12.3367029,7.65456,-9.67481,9.02851,8.32678,9.381,7.246,6.571,6.503,6.363
BD+55 362,1,1,0,0,23.9636676,56.6982282,129.03163,-5.64657,52.5697,18.9935,341.3577474,264.142,-216.227,9.15305,8.6036,9.38,7.826,7.331,,
BD+60 1417,1,1,0,0,190.8875453,60.0143636,124.74559,57.0861,44.9543,22.2159,141.8849865,-126.501,-64.2561,9.17439,8.6054,9.374,7.823,7.288,7.177,7.135
BD+63 1405,1,1,0,0,271.3979337,63.6700064,93.08126,29.1513,38.0473,26.2541,249.4112585,-26.4761,248.002,8.705,8.1519,8.96,7.303,6.78,6.711,6.67
BD-06 1339,1,2,0,0,88.2511811,-5.9963378,211.65797,-15.71602,20.2695,49.3062,346.7225761,-1.04543,-346.721,9.10677,8.2906,9.7,7.128,6.305,6.266,6.213
BD-08 2823,1,2,0,0,150.1971964,-9.5165689,248.49513,34.75486,41.3342,24.1641,376.3791094,-375.517,25.4601,9.50331,8.86,9.86,7.96,7.323,7.213,7.395
BD-10 3166,1,1,0,0,164.6191243,-10.7704227,263.28467,43.23793,84.4069,11.8187,185.0255981,-184.836,-8.37407,9.83981,9.3253,10.013,8.611,8.124,8.109,7.566
BD-11 4672,1,2,0,0,278.3688659,-11.6370481,20.54287,-1.35959,27.1665,36.7812,372.5220822,-288.59,-235.56,9.48511,8.7204,10.03,7.651,6.867,6.838,6.99
BD-13 2130,1,1,0,0,114.2884692,-13.9066703,230.52055,3.53127,925.214,1.05402,3.8647189,-0.693761,-3.80194,9.69971,8.999,10.038,7.94,7.151,7.051,6.983
BD-14 3065,3,1,0,0,153.6696689,-15.6428372,256.57364,32.77156,589.423,1.66848,9.0305658,-5.60772,7.07846,10.91,10.6311,11.1,10.143,9.932,9.842,9.062
BD-17 63,1,1,0,0,7.1413494,-16.2273254,95.83026,-77.87825,34.4603,28.9903,421.9214191,-355.181,-227.737,9.20112,8.5246,9.62,7.574,6.914,6.846,6.876
BD-210397,1,2,0,0,33.3024198,-21.1962147,199.69949,-70.45622,23.7324,42.1075,379.6005102,375.476,55.8061,9.25962,8.4502,9.84,7.296,6.504,,
BEBOP-3,2,1,0,1,110.902655,79.1323952,135.15193,28.11769,119.052,8.37084,32.3332358,-10.7175,-30.5053,9.1008,8.70912,9.259,8.157,7.86,7.805,7.724
BEBOP-4,2,1,0,1,192.5772651,26.1595358,288.27326,88.99898,234.294,4.23969,12.8596366,12.5817,2.65915,9.43326,9.0024,9.646,8.4,8.076,8.033,8.081
Barnard's star,1,4,0,0,269.4486144,4.7379808,31.04815,14.08585,1.82655,547.451,10393.5508325,-802.803,10362.5,8.19511,6.88269,9.54,5.244,4.524,,
CD Cet,1,1,0,0,48.3530155,4.7751881,175.42689,-43.1678,8.60715,116.154,1743.982574,1741.86,86.0172,12.1232,10.6701,13.95,8.775,7.833,,
CD-35 2722,1,1,0,0,92.3300147,-35.8255375,242.56023,-23.50087,22.3896,44.6346,56.3961472,-3.72339,-56.2731,10.2176,9.20446,11.041,7.92,7.046,6.933,6.636
CFBDSIR J145829+101343,1,1,0,0,224.6208333,10.2286111,9.59427,55.65506,23.1,43.3,,,,,,,,,,
CFHTWIR-Oph 98,1,1,0,0,246.934277,-23.98115,353.60499,16.96444,,,,,,,18.525,,16.775,14.593,13.99,8.056
CHXR 73,1,1,0,0,166.6193985,-77.6258725,297.2776,-15.92181,190.374,5.23435,22.1935378,-22.1925,0.214627,17.2934,15.6098,,12.674,10.703,10.275,9.406
CI Tau,1,1,0,0,68.4667685,22.8416192,175.46435,-16.63607,157.998,6.30079,19.2503713,8.90416,-17.0673,12.1454,11.1809,13.642,9.48,7.793,6.756,2.412
COCONUTS-2,1,1,0,0,117.300914,-76.702696,288.91588,-23.12313,10.8864,91.8291,218.5285982,-101.997,-193.265,10.146,8.94488,11.298,7.406,6.579,6.49,6.074
CT Cha,1,1,0,0,166.0375038,-76.4553693,296.65359,-14.90929,190.72,5.21444,22.2095894,-22.2089,-0.174998,11.7733,10.9363,12.335,9.715,8.661,7.898,2.729
CWISEP J193518.59-154620.3,1,1,0,0,293.8262172,-15.7725727,23.41213,-16.67132,14.43,,,,,,,,,,,
CoRoT-1,1,1,0,0,102.0798591,-3.1021394,215.33882,-2.10712,787.909,1.24176,6.039454,-6.01462,0.54713,13.457,13.0501,13.623,12.462,12.149,12.098,9.091
CoRoT-10,1,1,0,0,291.0636813,0.7460143,37.36069,-6.95299,338.386,2.92694,22.9585905,-3.19635,-22.735,14.6645,13.8215,15.293,12.527,11.782,11.64,8.923
CoRoT-11,1,1,0,0,280.6872998,5.9376586,37.24009,4.63005,655.037,1.50071,5.5818875,1.91873,-5.24175,12.841,12.419,12.897,11.589,11.248,11.173,9.198
CoRoT-12,1,1,0,0,100.7656871,-1.2964437,213.13155,-2.45441,1126.37,0.861234,3.8659215,1.69419,-3.47492,15.3453,14.7971,15.588,14.024,13.557,13.47,8.61
CoRoT-13,1,1,0,0,102.7211432,-5.0864557,217.3986,-2.43966,1148.93,0.843947,3.6450532,1.63671,-3.25693,14.9147,14.4266,15.005,13.71,13.376,13.17,8.946
CoRoT-14,1,1,0,0,103.4242023,-5.5360385,218.11787,-2.02059,1744.6,0.547358,3.6035031,-0.118627,-3.60155,15.8116,15.2135,15.932,14.321,13.806,13.679,9.14
CoRoT-16,1,1,0,0,278.5246658,-6.0026026,25.61433,1.1011,732.409,1.34056,8.0976105,0.936538,-8.04327,15.6507,14.7587,16.052,13.496,12.847,,
CoRoT-17,1,1,0,0,278.699236,-6.612288,25.15299,0.66631,1176.12,0.82338,9.2427444,-4.54107,-8.05028,15.4368,14.4756,16.29,13.174,12.472,,
CoRoT-18,1,1,0,0,98.1724172,-0.0316045,210.8191,-4.18491,764.889,1.28063,4.0100233,2.33468,-3.2603,14.8009,14.2465,14.868,13.441,13.014,12.955,8.771
CoRoT-19,1,1,0,0,97.0335983,-0.1707293,210.42057,-5.26125,790.663,1.23764,7.6938008,4.79937,-6.01337,13.7831,13.1861,14.135,12.324,11.837,11.763,9.147
CoRoT-2,2,1,0,0,291.7770457,1.3836634,38.26267,-7.29102,213.283,4.66076,11.4550454,-3.40878,-10.9361,12.2489,11.6659,12.516,10.783,10.31,10.064,9.035
CoRoT-20,1,2,0,0,97.7204249,0.2268931,210.38123,-4.4686,844.061,1.15699,2.8157236,-0.262189,-2.80349,14.4686,13.8786,14.63,12.991,12.513,12.446,8.493
CoRoT-21,1,1,0,0,101.0526207,-0.2991544,212.37415,-1.74447,1398.83419686,0.714881,11.7168394,-11.578,1.7984,15.8558,15.2756,16.058,14.34,13.813,13.674,9.006
CoRoT-22,1,1,0,0,280.6671392,6.2191669,37.48307,4.775,627.158,1.56624,2.3150628,2.02362,1.12449,13.7305,13.2006,13.82,12.414,11.988,11.889,8.87
CoRoT-23,1,1,0,0,279.7826586,4.3577516,35.41749,4.71959,1060.97,0.91542,8.6628393,-2.40647,-8.32188,15.0681,14.1956,15.675,12.944,12.364,12.14,8.354
CoRoT-24,1,2,0,0,101.922543,-3.7192892,215.81744,-2.52763,591.555,1.66329,3.0425443,-1.29402,2.75365,15.1801,14.5115,15.383,13.595,12.924,12.898,9.039
CoRoT-25,1,1,0,0,280.6296561,6.5138223,37.73014,4.94113,1103.48,0.878853,2.6431764,-2.48353,0.904688,14.711,14.1354,14.79,13.3,12.846,12.866,8.748
CoRoT-26,1,1,0,0,279.7504991,6.9697828,37.74453,5.926,1045.18,,10.1140368,-4.34333,-9.13396,15.4682,14.8162,15.861,13.813,13.261,13.158,8.807
CoRoT-27,1,1,0,0,278.4958319,5.5383811,35.89455,6.39649,1010.28,0.96604,9.7710073,0.326224,-9.76556,15.3902,14.6258,15.774,13.571,12.985,12.953,9.034
CoRoT-28,1,1,0,0,278.6883216,5.5736911,36.01305,6.24131,766.183,1.27685,8.9097951,-5.91899,-6.65958,13.4119,12.671,13.783,11.601,11.032,10.926,8.825
CoRoT-29,1,1,0,0,278.9020691,6.4795703,36.92336,6.45872,806.507,1.21562,14.8548187,-3.76681,-14.3693,15.2394,14.5448,15.408,13.565,13.048,11.961,9.113
CoRoT-3,1,1,0,0,292.0552827,0.1218359,37.26302,-8.12065,768.771,1.27472,3.5086162,3.49344,-0.325982,13.2188,12.7127,13.448,11.936,11.618,11.343,8.979
CoRoT-30,1,1,0,0,277.6011767,6.8359338,36.66096,7.77355,1032.23,0.942447,1.285261,-1.26248,-0.240915,15.413,14.8279,15.571,14.019,13.562,13.275,8.919
CoRoT-31,1,1,0,0,94.820735,-4.4222978,213.22491,-9.16321,2005.76,0.470026,7.7483816,2.97679,-7.15375,15.4655,14.8468,15.479,13.908,13.426,13.349,8.621
CoRoT-32,1,1,0,0,100.1951714,9.2573953,203.48237,1.86373,576.683,1.70589,4.6600247,0.981128,-4.55557,13.5867,13.1395,13.626,12.519,12.193,12.133,7.854
CoRoT-35,1,1,0,0,289.3143526,-2.7747085,33.40059,-7.00809,1123.21,0.863975,5.7929122,-2.32613,-5.30537,15.2625,14.539,15.635,13.43,12.935,12.781,8.895001
CoRoT-36,1,1,0,0,277.7510149,7.1833465,37.04172,7.79576,925.958,1.05227,4.0987041,0.986842,-3.97813,12.9515,12.5161,13.126,11.859,11.592,11.512,8.872
CoRoT-4,1,1,0,0,102.1946233,-0.6727861,213.22759,-0.89847,726.412,1.34844,5.3458377,-3.65873,-3.89765,13.5613,13.1573,13.652,12.619,12.288,12.194,8.832
CoRoT-5,1,1,0,0,101.2772396,0.8152163,211.48472,-1.0362,882.472,1.1054,8.8293871,-3.0708,-8.27818,13.9021,13.4831,14.043,12.871,12.546,12.479,8.701
CoRoT-6,1,1,0,0,281.0725563,6.6632062,38.06304,4.6158,645.294,1.52152,5.8112583,5.51211,1.84048,13.7459,13.2491,13.961,12.518,12.119,12.127,8.907
CoRoT-7,1,3,0,0,100.9561682,-1.0630076,213.01042,-2.17853,159.906,6.22504,10.9609274,10.9604,-0.10752,11.5239,10.9996,11.728,10.301,9.806,9.76,7.926
CoRoT-8,1,1,0,0,291.5885696,1.4262972,38.21286,-7.10426,322.037,3.07662,35.483344,13.5768,-32.7832,14.2195,13.4202,14.792,12.154,11.463,11.401,8.22
CoRoT-9,2,1,0,0,280.7866461,6.2040783,37.52335,4.66217,412.98,2.39295,20.7840672,-14.471,-14.9187,13.5008,12.9497,13.637,12.175,11.688,11.68,9.09
DE CVn,2,1,0,1,201.7207198,45.5455449,104.28761,70.27803,30.5225,32.7338,268.1544429,-202.464,-175.827,11.9752,10.857,12.956,9.392,8.555,8.447,8.146
DENIS-P J082303.1-491201,1,1,0,0,125.7620668,-49.2003008,265.61638,-6.82669,20.77,48.16,158.3,-157.9,11.8,18.5577,17.0963,,13.547,12.062,11.47,9.534
DH Tau,1,1,0,0,67.4231674,26.5493897,171.89958,-14.93888,134.846,7.38799,21.871659,7.06547,-20.699,12.4961,11.4555,13.98,9.767,8.178001,7.397,3.032
DMPP-1,1,4,0,0,86.7761233,-10.6303217,215.35863,-19.05301,62.5388,15.9613,21.4467413,2.72749,-21.2726,7.85032,7.4742,7.98,7.001,6.69,6.655,6.563
DMPP-2,1,3,0,0,27.407731,-34.4590985,246.92255,-75.5342,137.94,7.22084,28.4170444,-27.3803,7.60576,8.45824,8.1311,8.57,7.703,7.437,7.363,7.311
DMPP-3,2,1,0,0,91.6243532,-72.5143057,283.21153,-29.14459,46.8917,21.2977,383.6395992,-1.4122,-383.637,8.8543,8.311,9.1,7.588,7.061,6.999,6.948
DMPP-4,1,1,0,0,293.5826648,51.2358069,83.46183,14.58774,25.3284,39.4525,190.9793309,30.2026,-188.576,5.60037,5.2609,5.72936,4.7,4.494,4.509,4.467
DMPP-6,1,2,0,0,120.3857827,-70.0234291,282.68815,-19.6933,54.6303,18.2759,105.6939444,15.9469,104.484,7.56056,7.1647,7.71,6.66,6.33,6.314,6.29
DMPP-7,1,1,0,0,203.5284651,0.4988127,325.73495,61.46669,101.386,9.83482,67.3533897,-35.1442,-57.4575,8.65313,8.25428,8.79,7.706,7.386,7.31,7.185
DMPP-8,1,1,0,0,305.3083517,-81.6166664,311.88706,-30.04368,76.1335,13.106,203.2706032,107.554,-172.485,8.49441,8.073,8.65,7.48,7.191,7.136,7.154
DMPP-9,1,1,0,0,316.3060007,-66.9581622,327.31219,-37.70513,109.539,9.10029,86.6922466,51.4907,-69.7442,9.08087,8.69,9.22,8.192,7.906,7.821,8.225
DP Leo,2,1,0,1,169.3162193,17.9615717,230.89636,66.45634,305.684,3.27807,28.7362202,-28.6999,-1.44433,18.6333,18.417,18.6837,,,,
DS Tuc,2,1,0,0,354.9154673,-69.196043,312.10146,-46.63356,44.0622,22.6663,104.2238507,79.4639,-67.4396,8.31926,7.8541,8.17,7.122,6.676,6.767,6.589
EPIC 201170410,1,1,0,0,170.1408561,-4.8070039,264.99528,51.24569,134,,21.8630759,8.57776,-20.1101,16.4386,15.3176,17.6984,13.464,12.619,12.45,8.892
EPIC 201238110,1,1,0,0,179.7058532,-3.3894613,278.31843,56.94662,159.259,6.25088,28.0214205,-25.1078,-12.4418,15.2612,14.1497,16.014,12.759,11.933,11.8,8.891
EPIC 201427007,1,1,0,0,184.6021322,-0.5512886,285.58634,61.20318,706.391,1.38704,17.7833657,-17.3534,3.88685,14.147,13.6514,14.321,12.975,12.581,12.534,8.468
EPIC 201497682,1,1,0,0,168.9366786,0.4880606,258.19387,54.82399,253.026,3.92339,16.4083645,11.1495,-12.0384,13.7368,13.0708,13.948,12.086,11.438,11.376,8.878
EPIC 201595106,1,2,0,0,183.7203635,1.9681688,282.19917,63.35883,232.1,4.28034,25.0015387,6.09669,-24.2468,11.6477,11.2023,11.746,10.588,10.218,10.158,8.424
EPIC 201757695,1,1,0,0,173.9385102,4.6164303,260.8805,61.14782,577.6,,6.764151,-3.17074,-5.97496,,13.797,14.974,12.856,12.149,12.079,9.01
EPIC 201841433,1,1,0,0,175.206752,6.1348146,261.10589,63.11979,436.488,2.26274,7.9466943,-3.95843,-6.89063,14.5885,13.957,14.983,13.06,12.454,12.378,8.948
EPIC 206024342,1,3,0,0,331.2771441,-14.1218019,42.94366,-49.1871,369.888,2.67518,35.632147,-18.3674,-30.5334,12.9682,12.516,13.096,11.846,11.487,11.435,8.202
EPIC 206032309,1,1,0,0,341.2404563,-13.9011223,50.70238,-57.69594,161.365,6.1694,82.6469435,-66.1032,-49.6073,16.0689,14.8945,17.89,13.429,12.538,12.481,8.75
EPIC 206042996,1,2,0,0,337.5136198,-13.6101475,48.06541,-54.37586,451.769,2.18689,10.4145211,7.29814,-7.42963,15.9752,15.1373,16.59,13.964,13.071,13.04,8.615
EPIC 206215704,1,1,0,0,335.0949721,-9.5097112,51.97463,-50.28505,109.888,9.0727,45.9510152,16.1136,-43.0331,16.1722,14.9871,17.83,13.561,12.767,12.58,8.803001
EPIC 206317286,1,2,0,0,337.6178427,-7.972456,56.17023,-51.54478,314.35,3.15254,58.424872,57.0952,-12.3937,13.774,13.1461,14.005,12.258,11.635,11.591,8.892
EPIC 211822797,1,1,0,0,130.4102091,17.6399744,208.28299,32.03739,186.197,5.34209,37.9241885,-36.1698,-11.4013,14.5263,13.5357,15.133,12.277,11.429,11.341,8.436
EPIC 211945201,1,1,0,0,136.5741931,19.4020565,208.78206,38.12775,181.69,5.47529,61.7731533,45.4915,-41.7905,10.0512,9.66896,10.154,9.144,8.837,8.822,8.623
EPIC 212297394,1,2,0,0,207.2061241,-17.6098985,321.8192,43.14733,418.395,2.36212,23.1565785,-23.1553,-0.243326,14.1864,13.5896,14.611,12.735,12.186,12.116,9.254
EPIC 212424622,1,1,0,0,202.3313765,-14.3594358,316.58254,47.50561,611.804,1.606,12.7105535,-12.218,3.50409,13.2026,12.7615,13.441,12.101,11.775,11.75,9.263
EPIC 212499991,1,1,0,0,202.488752,-12.7347749,317.34866,49.05579,283.29,3.50124,8.7451107,-4.35884,-7.58139,13.3118,12.734,13.672,11.877,11.366,11.296,8.662
EPIC 212587672,1,2,0,0,205.4445125,-10.8625468,322.41694,50.09504,320.07,3.09713,28.5573676,-14.724,-24.4689,12.2038,11.7902,12.488,11.181,10.857,10.802,9.086
EPIC 212624936,1,2,0,0,210.6376171,-10.0236852,330.23401,49.04154,561.929,1.75111,34.5778436,-31.2449,14.8116,13.8326,13.3582,13.976,12.672,12.292,12.244,8.878
EPIC 212737443,1,2,0,0,204.2215065,-7.3180577,322.27085,53.83847,336.25,2.94582,51.2703122,-46.2331,22.1618,14.4776,13.803,14.81,12.824,12.16,12.093,9.074
EPIC 220492298,1,1,0,0,16.7615005,6.588798,129.88845,-56.07199,624.512,1.57248,16.0543809,14.5223,-6.84441,13.7756,13.2689,13.991,12.61,12.168,12.13,8.927
