hostname,hostid,sy_name,hd_name,hip_name,tic_id,gaia_dr3_id,st_spectype,st_teff,st_rad,st_mass,st_lum,st_dens,st_logg,st_age,st_met,st_metratio,st_radv,st_rotp,st_vsin,st_log_rhk
GJ 9714,2.58824,HIP 103768,HD 199981,HIP 103768,TIC 92566472,Gaia DR3 6781117812601143168,K5V,4263,0.662662,0.67,-0.88386,3.246111,4.62156,,,,,,,
GJ 9773,2.59503,GJ 9773,,HIP 109638,TIC 468309671,Gaia DR3 2723557788822526720,M3.0 V,3528,0.362,0.358,-1.73666,9.547823,4.84674,,-0.2,[Fe/H],,56,2,
GJ 9827,2.61953,GJ 9827,,HIP 115752,TIC 301289516,Gaia DR3 2643842302456085888,K7 V,4236,0.58,0.62,-1.00436,3.97,4.719,5.465,-0.29,[Fe/H],31.94888,28.16,1.75,-5.28
GJ 9827,2.61953,GJ 9827,,HIP 115752,TIC 301289516,Gaia DR3 2643842302456085888,K7 V,4236,0.58,0.62,-1.00436,3.97,4.7,5.465,-0.29,[Fe/H],31.94888,28.16,2.43,-5.28
GPX-1,2.572974,GPX-1,,,TIC 245392284,Gaia DR3 457317534880081152,F2,7000,1.56,1.68,0.72673,0.620324,4.27,0.27,0.35,[Fe/H],-3.7,,40,
GQ Lup,2.103396,GQ Lup,,,TIC 442623945,Gaia DR3 6011522757643074304,K7e V,4360,1.94153,0.7,-0.07239,,3.65,0.001,-0.35,[Fe/H],,,6.33,
GSC 06214-00210,2.103499,GSC 06214-00210,,,TIC 50175254,Gaia DR3 6244440552088537600,K7,4200,0.90484,0.9,-0.42,1.320717,4.36628,0.005,-0.06,[Fe/H],-4.59142,,4.24,
GU Psc,2.103736,GU Psc,,,TIC 408263079,Gaia DR3 2784120641627589760,M3,4031.81,0.450458,0.325,-1.60189,6.895277,4.78111,0.1,0.1,[Fe/H],-1.6,,23,
Gaia-1,2.573075,Gaia-1,,,TIC 11755687,Gaia DR3 3026325426682637824,,5470,0.952,0.949,-0.1588,1.46,4.43994,,,,,,,
Gaia-2,2.573076,Gaia-2,,,TIC 147797743,Gaia DR3 1107980654748582144,,5720,1.064,1,0.0574,0.848,4.37355,,,,,,,
Gaia-4,2.579681,Gaia-4,,,TIC 166669918,Gaia DR3 1457486023639239296,,4034,0.624,0.644,-0.99957,3.74,4.68,6.8,0.05,[Fe/H],-17.53,13.3,2,
Gaia-5,2.579682,Gaia-5,,,TIC 42004825,Gaia DR3 2074815898041643520,,3447,0.345,0.339,-1.82594,11.61,4.83,8.2,-0.18,[Fe/H],-52.7,,2,
Gaia22dkvL,2.579512,Gaia22dkvL,,,,,,,,1.145,,,,,,,,,,
Gl 378,2.56052,Gl 378,,HIP 49189,TIC 252470070,Gaia DR3 823228721067307392,M1,3879,0.56,0.56,-1.22185,4.444971,4.68513,,0.06,[Fe/H],-9.69733,,,
Gl 410,2.56307,Gl 410,HD 95650,HIP 53985,TIC 97488127,Gaia DR3 3988689609004982912,K,3842,0.543,0.55,-1.239,4.498446,4.87,0.48,0.05,[M/H],-13.9,13.93,,
Gl 49,2.54151,Gl 49,,HIP 4872,TIC 256419669,Gaia DR3 522863309964987520,M1.5 V,3805,0.511,0.515,-1.30645,4.79974,4.69,,0.13,[Fe/H],-5.777,18.86,2,
Gl 686,2.58302,Gl 686,,HIP 86287,TIC 230241767,Gaia DR3 4550763526539955712,M1.0 V,3656,0.427,0.426,-1.53,7.145493,4.87,,-0.23,[Fe/H],-10.09248,38.732,2.49,
Gl 725 A,2.58458,Gl 725,HD 173739,HIP 91768,TIC 359676790,Gaia DR3 2154880616774131840,M3,3433,0.351,0.33,-1.809,11.109699,4.87,6.2,-0.19,[Fe/H],-0.8,103.1,,
Gliese 12,2.578652,Gliese 12,,,TIC 52005579,Gaia DR3 2768048564768256512,M4 V,3328,0.265,0.255,-2.13787,19.518,5.25,7,-0.24,[Fe/H],51.213,85,2,-5.62
