hostname,hostid,sy_name,hd_name,hip_name,tic_id,gaia_dr3_id,st_spectype,st_teff,st_rad,st_mass,st_lum,st_dens,st_logg,st_age,st_met,st_metratio,st_radv,st_rotp,st_vsin,st_log_rhk
HD 104067,2.56551,HD 104067,HD 104067,HIP 58451,TIC 428673146,Gaia DR3 3494677900774838144,K2V,4952,0.78,0.82,-0.51256,2.626182,4.56,4.33,0.11,[Fe/H],15.1243,18.3,2.32,
HD 10442,2.103394,HD 10442,HD 10442,,TIC 380908091,Gaia DR3 2560311854337920000,K0 IV,4912,1.97,1.01,0.31,,3.19,10.65,0.11,[Fe/H],7.94282,,,
HD 104985,2.56579,HD 104985,HD 104985,HIP 58952,TIC 160224839,Gaia DR3 1693159194226600192,G9 III,4738,11.12,1.22,1.76989,,2.42,,-0.32,[Fe/H],-20.19671,,,
HD 105618,2.578120,HD 105618,HD 105618,,TIC 397519199,Gaia DR3 3906803888551408000,,5671,1.27399,1.01,0.17967,0.688632,4.23206,,,,,,,
HD 105779,2.573071,HD 105779,HD 105779,,TIC 347713631,Gaia DR3 3567602184853029760,G2,5792,0.94,0.89,-0.10791,1.718437,4.36,7.54,-0.25,[Fe/H],,,2,-4.94
HD 106252,2.56619,HD 106252,HD 106252,HIP 59610,TIC 397558558,Gaia DR3 3905603054348141440,G0,5874,1.05,1.05,0.1232,1.069803,4.36,3,-0.06,[Fe/H],15.4,,1.9,-4.85
HD 106270,2.56622,HD 106270,HD 106270,HIP 59625,TIC 176910071,Gaia DR3 3581292685166588672,G5 IV,5509,2.66,1.39,0.75587,,3.72,4.3,0.06,[Fe/H],24.45445,,3.13,
HD 106315,2.72986,HD 106315,HD 106315,,TIC 56815340,Gaia DR3 3698307419878650240,F5 V,6327,1.296,1.091,0.39454,0.977063,4.252,4.48,-0.311,[Fe/H],-3.34,,12.71,
HD 10647,2.54321,HD 10647,HD 10647,HIP 7978,TIC 229137615,Gaia DR3 4912580642524184960,F9 V,6218,1.1,1.11,0.149,1.251696,4.62,1.4,0,[Fe/H],27.6782,,4.9,
HD 106515 A,2.56633,HD 106515,HD 106515 A,HIP 59743 A,TIC 176940023,Gaia DR3 3584074376569429248,G5 V,5362,0.91,0.89,-0.16368,1.66,4.41,8.2,0.03,[Fe/H],20.8095,,1,-5.1
HD 106906,2.56649,HD 106906,HD 106906,HIP 59960,TIC 390472975,Gaia DR3 6072902994276659200,F5 V,6516,2.12351,1.5,0.75,0.194345,3.90453,0.013,0.04,[Fe/H],11.1,,49.12,
HD 10697,2.54329,HD 10697,HD 10697,HIP 8159,TIC 456905162,Gaia DR3 95652018353917056,G3 V,5641,1.863076,0.99,0.47665,0.224386,3.957761,6.98,0.17,[Fe/H],-46.6,,2.5,-5.08
HD 107148,2.56658,HD 107148,HD 107148,HIP 60081,TIC 66666079,Gaia DR3 3693358861640279296,G5 V,5752.92,1.169193,1.105215,0.12081,0.931548,4.345025,5.6,0.2964,[Fe/H],25.12867,,0.73,-5.03
HD 107148,2.56658,HD 107148,HD 107148,HIP 60081,TIC 66666079,Gaia DR3 3693358861640279296,G5 V,5797,1.169193,1.12,0.12081,0.931548,4.446,5.6,0.314,[Fe/H],25.12867,,0.73,-5.03
HD 108147,2.56695,HD 108147,HD 108147,HIP 60644,TIC 450491293,Gaia DR3 6053512007260865280,F8 V CH+0.4,6255.73,1.20664,1.22,0.30297,0.97901,4.36127,3.2,0.1803,[M/H],5.026,,5.3,-4.78
HD 108202,2.579076,HD 108202,HD 108202,HIP 60648,TIC 94924490,Gaia DR3 3694842171545206656,K4/5 V,4556.03,0.66355,0.74,-0.76721,3.474376,4.65165,6.5,0.3048,[M/H],,,,-4.5
HD 108236,2.56698,HD 108236,HD 108236,HIP 60689,TIC 260647166,Gaia DR3 6125644402384918784,G3 V,5660,0.877,0.869,-0.14997,1.82,4.49,6.7,-0.28,[Fe/H],16.3,,4.7,
HD 108341,2.56710,HD 108341,HD 108341,HIP 60788,TIC 286896213,Gaia DR3 5842782219960409728,K2 V,5122,0.79,0.843,-0.37001,2.566871,4.45,4.9,0.04,[Fe/H],56.7,,2,
HD 108863,2.56728,HD 108863,HD 108863,HIP 61020,TIC 371621400,Gaia DR3 3952692457305436800,K0,4878,5.74,1.59,1.22531,,3.07,1.8,0.2,[Fe/H],-27.85119,,1.06,
HD 108874,2.56729,HD 108874,HD 108874,HIP 61028,TIC 371621238,Gaia DR3 3958951942642583936,G5,5551,1.05,0.95,-0.00072,1.063705,4.44,8,0.19,[Fe/H],-30.7,,2.2,-5.08
HD 108874,2.56729,HD 108874,HD 108874,HIP 61028,TIC 371621238,Gaia DR3 3958951942642583936,G5,5600,1.05,1.1,-0.00072,1.063705,4.44,8,0.26,[Fe/H],-30.7,,2.2,-5.08
HD 109246,2.56747,HD 109246,HD 109246,HIP 61177,TIC 154549250,Gaia DR3 1692267077979468544,G0 V,5844,1.07,1.2,0.10028,1.099177,4.46,,0.1,[Fe/H],-19.464,,3,
HD 109271,2.56753,HD 109271,HD 109271,HIP 61300,TIC 429301734,Gaia DR3 3578137842709899648,G5 V,5783,1.294595,1.047,0.301,0.743792,4.28,7.3,0.1,[Fe/H],-4.903,,2.7,
HD 109286,2.572951,HD 109286,HD 109286,HIP 61298,TIC 399087153,Gaia DR3 3902370696320119296,G4 V,5694,1.089,0.98,-0.08393,1.703141,4.44,,0.05,[Fe/H],,,3.8,
HD 109749,2.56775,HD 109749,HD 109749,HIP 61595 A,TIC 144289338,Gaia DR3 6147000074988843264,G3 V,5824,1.22,1.13,0.19,0.67348,4.31,3.3,0.24,[Fe/H],-13.20173,,2,
HD 10975,2.573010,HD 10975,HD 10975,,TIC 28763463,Gaia DR3 343449606741529728,K0 III,4840,11.16,1.41,1.78986,,2.48,,-0.21,[Fe/H],,,1.69,
HD 109833,2.573861,HD 109833,HD 109833,HIP 61723,TIC 360630575,Gaia DR3 5838450865699668736,,5881,1,1.08,0.07188,1.522612,4.45,0.027,-0.07,[M/H],,5.111,10.5,
HD 109988,2.578121,HD 109988,HD 109988,,TIC 389315309,Gaia DR3 6160221740968692992,,5185.97,0.869694,0.88,-0.30725,1.886023,4.50382,,0.14,[M/H],,,,
HD 110014,2.56786,HD 110014,HD 110014,HIP 61740,TIC 32448045,Gaia DR3 3676091134604409728,K2 III,4445,20.9,2.17,2.30408,,2.1,0.95,0.19,[Fe/H],-18.62,,2,
HD 110067,2.574485,HD 110067,HD 110067,,TIC 347332255,Gaia DR3 3948424496764080640,K0.0 V,5266,0.788,0.798,-0.36224,2.677866,4.54,8.1,-0.2,[Fe/H],,,2.5,
HD 110082,2.56836,HD 110082,HD 110082,HIP 62662,TIC 383390264,Gaia DR3 5765748511163751936,F8 V,6200,1.19,1.21,0.28103,1,4.2,0.25,0.08,[Fe/H],3.63,2.34,25.3,
HD 110113,2.56790,HD 110113,HD 110113,HIP 61820,TIC 73228647,Gaia DR3 6133384959942131968,G,5732,0.968,0.997,-0.03235,1.511869,4.46,4,0.14,[Fe/H],17.13053,20.8,1.74,
HD 110537,2.56804,HIP 62039,HD 110537,HIP 62039,TIC 51739133,Gaia DR3 3681795018676501120,G6/8 V,5718,1.16626,1.02,0.11726,0.906532,4.31308,,0.09,[M/H],35,,1.8,-5.05
HD 11112,2.578122,HD 11112,HD 11112,,TIC 115319029,Gaia DR3 4959271163279358208,,5905.64,1.47368,1.07,0.37657,0.471343,4.13064,,0.1869,[M/H],,,,
HD 111232,2.56828,HD 111232,HD 111232,HIP 62534,TIC 329649885,Gaia DR3 5855730584310531200,G8 V,5512,0.9,0.96,-0.161,1.716633,4.45,5.2,-0.36,[Fe/H],104.4,,1.2,-4.98
HD 111591,2.56835,HD 111591,HD 111591,HIP 62653,TIC 954124944,Gaia DR3 3955257343054729984,K0 III,4884,8.03,1.94,1.58058,,3.1,1.41,0.07,[Fe/H],5.67,,3.1,
HD 111998,2.56843,HD 111998,HD 111998,HIP 62875,TIC 53304943,Gaia DR3 3679242575447826432,F6 V,6557,1.45,1.4,0.51231,0.664805,4.19,1.7,0.07,[Fe/H],-7.29648,,20,-4.58
HD 112300,2.578978,HD 112300,HD 112300,HIP 63090,TIC 411188061,Gaia DR3 3704342295607157120,M1 III,3657,65.8,1.4,2.70121,,0.8,,-0.06,[Fe/H],,4200,8.1,
HD 112570,2.579266,HD 112570,HD 112570,HIP 63211,TIC 137004295,Gaia DR3 1530780980576364032,K0 III,4750,9.85,1.15,1.6466,,2.51,5.45,-0.4,[Fe/H],,,,
HD 112640,2.56852,HD 112640,HD 112640,HIP 63203,TIC 459217467,Gaia DR3 1679187115856566528,K0 III,4155,39,1.8,2.45255,,1.7,1.6,-0.09,[Fe/H],-12.3561,545,3.6,
HD 113337,2.56863,HD 113337,HD 113337,HIP 63584,TIC 142350121,Gaia DR3 1676282377934772608,F6 V,6774,1.5,1.41,0.63246,0.565188,4.21,0.15,0.07,[M/H],-15.69824,3,6.3,
HD 113538,2.56871,HD 113538,HD 113538,HIP 63833,TIC 422214062,Gaia DR3 6080301367488384896,K9 V,4462,0.53,0.585,-1.04576,1.970359,3.79,4.3,-0.24,[Fe/H],39.2,,2,
HD 113996,2.56878,HD 113996,HD 113996,HIP 64022,TIC 328997091,Gaia DR3 1460876573902483328,K5 III,4181,25.11,1.49,2.46389,,1.86,3.24,0.13,[Fe/H],-15.72,,3.3,
HD 114082,2.578325,HD 114082,HD 114082,HIP 64184,TIC 441546821,Gaia DR3 6055854551117476480,F3 V,6651,1.49,1.47,0.5832,0.584958,4.19,0.015,0,[Fe/H],,1.924,39.2,
HD 114386,2.56887,HD 114386,HD 114386,HIP 64295,TIC 124306858,Gaia DR3 6166971574132849792,K3 VC,4895,0.76,0.8,-0.54,2.446232,4.28,1.4,-0.1,[Fe/H],33.19683,,1,
HD 114386,2.56887,HD 114386,HD 114386,HIP 64295,TIC 124306858,Gaia DR3 6166971574132849792,K3 VC,4836,0.76,0.6,-0.54,2.446232,4.45,1.4,-0.05,[Fe/H],33.19683,,1,
HD 114729,2.56899,HD 114729,HD 114729,HIP 64459,TIC 124401411,Gaia DR3 6180035765135232128,G0 V,5844,1.473,0.936,0.42095,0.374829,4.046,10.116,-0.33,[Fe/H],65.09254,34,2.29,-5.05
HD 114783,2.56898,HD 114783,HD 114783,HIP 64457,TIC 292113181,Gaia DR3 3684934540986187776,K1 V,5135,0.840622,0.9,-0.3725,2.025864,4.525599,6,0.21,[Fe/H],-12.10684,,2,-4.97
HD 114783,2.56898,HD 114783,HD 114783,HIP 64457,TIC 292113181,Gaia DR3 3684934540986187776,K0,5135,0.840622,0.853,-0.3725,2.025864,4.525599,6,0.21,[Fe/H],-12.10684,,0.9,-4.97
HD 11505,2.578123,HD 11505,HD 11505,,TIC 328159699,Gaia DR3 2505825177666430592,,5757.15,1.19568,1.03,0.15075,0.849492,4.29568,,-0.2203,[M/H],,,,
HD 11506,2.54347,HD 11506,HD 11506,HIP 8770,TIC 266680498,Gaia DR3 5137855525488932864,G0 V,6123,1.24,1.22,0.33685,0.641299,4.39,2.5,0.3,[Fe/H],-7.53,15,5.5,-5.06
HD 115404 A,2.56918,HIP 64797 A,HD 115404 A,HIP 64797 A,TIC 373765355,Gaia DR3 3936909723803146368,K2V,5019.17,0.727007,0.83,-0.5197,3.045281,4.63407,,-0.1568,[M/H],,19,,
HD 115954,2.572952,HD 115954,HD 115954,HIP 65042,TIC 180655149,Gaia DR3 1476407794120339328,G0 V,5957,1.213,1.18,0.4809,0.301606,4.15,,0.34,[Fe/H],,,5.3,
HD 116029,2.56949,HD 116029,HD 116029,HIP 65117,TIC 305837711,Gaia DR3 1446584503287858560,K0,4951,4.6,1.33,1.05308,,3.4,2.7,0.18,[Fe/H],-6.41961,,0.46,
HD 116029,2.56949,HD 116029,HD 116029,HIP 65117,TIC 305837711,Gaia DR3 1446584503287858560,K0,4819,4.89,0.83,1.05308,,2.98,2.7,0.09,[Fe/H],-6.41961,,0.46,
HD 117207,2.57010,HD 117207,HD 117207,HIP 65808,TIC 405501056,Gaia DR3 6166183842771027328,G7 IV-V,5732,1.074,1.053,0.06566,0.945678,4.371,4.192,0.19,[Fe/H],-17.9,39,1.05,-5.06
HD 11755,2.54357,HD 11755,HD 11755,HIP 9242,TIC 137121812,Gaia DR3 558504529130235136,G5,4312,20.58,0.72,2.16933,,1.67,10.2,-0.74,[Fe/H],-86.71912,,2.3,
HD 117618,2.57031,HD 117618,HD 117618,HIP 66047,TIC 243194645,Gaia DR3 6083860761505899904,G2 V,5990,1.2,1.077,0.21304,0.933435,4.41,5.6,0.0283,[M/H],1.28103,,3.2,
HD 118203,2.57044,HD 118203,HD 118203,HIP 66192,TIC 286923464,Gaia DR3 1560420854826284928,K0 IV,5742,2.04,1.27,0.6458,0.196,3.92,4.73,0.287,[Fe/H],-29.3643,23.1,5.89,
HD 11964,2.54355,HD 11964,HD 11964,HIP 9094,TIC 24978373,Gaia DR3 2462426800883134336,G9 V CN+1,5303,2.00971,0.91,0.45905,0.158056,3.79084,7.45,0.1,[M/H],-9.31811,,2.74,-5.16
HD 11977,2.54351,HD 11977,HD 11977,HIP 8928,TIC 232074535,Gaia DR3 4697508196671120000,G8 III/IV,4970,10.09,1.91,1.83858,,2.9,1.2,-0.21,[Fe/H],-18.01,,2.4,
HD 120084,2.57106,HD 120084,HD 120084,HIP 66903,TIC 284181945,Gaia DR3 1715055487257379968,G7 III,4879,10.37,2.16,1.73783,,2.74,1.02,0.1,[Fe/H],-8.79786,,2.44,
HD 121504,2.57208,HD 121504,HD 121504,HIP 68162,TIC 208844024,Gaia DR3 5872266689455300608,G2 V,6027,1.07,1.62,0.19,1.215554,4.59,1.2,0.15,[Fe/H],19.3,,2.6,
HD 12235,2.578154,HD 12235,HD 12235,,TIC 422679659,Gaia DR3 2511794495013074048,,5986,1.80185,1.1,0.57468,0.265095,3.96802,,0.31,[M/H],,,,
HD 122562,2.578124,HD 122562,HD 122562,,TIC 233435627,Gaia DR3 1247279294695975168,,4956,2.16627,1.241,0.407,,,,,,,,,
HD 124330,2.572921,HD 124330,HD 124330,,TIC 441692540,Gaia DR3 1609157502297291008,G4 IV,5873,1.30446,1.15,0.33766,0.73677,4.24,,0.22,[Fe/H],-30.687,,3.2,
HD 12484,2.54360,HD 12484,HD 12484,HIP 9519,TIC 419940916,Gaia DR3 2517585931994600448,F8,5920,1.001848,1.01,0.02217,1.468884,4.65,,0.05,[Fe/H],4.96,,8.2,
HD 125271,2.578125,HD 125271,HD 125271,,TIC 421255607,Gaia DR3 5772625505422769024,,4703.93,0.751364,0.75,-0.60376,2.492742,4.56143,,-0.22,[M/H],,,,
HD 125390,2.57255,HD 125390,HD 125390,HIP 69888,TIC 27354139,Gaia DR3 1484890423248544256,G7 III,4882,6.47,1.82,1.12354,,3.04,,-0.11,[Fe/H],-76.51899,,,
HD 125595,2.57262,HD 125595,HD 125595,HIP 70170,TIC 180030300,Gaia DR3 6104435819513399168,K4 V,4691,0.74,0.29,-0.61738,2.516892,4.17,3.53,0.08,[Fe/H],4.48167,40.1,1.5,
HD 125612,2.57261,HD 125612,HD 125612,HIP 70123,TIC 347909637,Gaia DR3 6296703260330865536,G3 V,5900,1.07,1.05,0.06,1.017477,4.45,1.77,0.23,[Fe/H],-18.4,10.5,2.1,
HD 12648,2.54402,HD 12648,HD 12648,HIP 10800,TIC 397288169,Gaia DR3 574577774218025600,G5,4835,11.02,0.67,1.75277,,2.18,4.5,-0.57,[Fe/H],-12.29921,,4.8,
HD 126525,2.57272,HD 126525,HD 126525,HIP 70695,TIC 333459486,Gaia DR3 5898641087150340224,G4 V,5638,0.979,0.897,-0.0403,1.417214,4.382,9.67,-0.1,[Fe/H],12.5,40,3,-4.93
HD 12661,2.54362,HD 12661,HD 12661,HIP 9683,TIC 118268680,Gaia DR3 105332908999068032,K0,5748,1.11,1.02,0.063,0.78842,4.316128,6.39,0.36,[Fe/H],-47.37504,,1.3,-5.08
HD 12661,2.54362,HD 12661,HD 12661,HIP 9683,TIC 118268680,Gaia DR3 105332908999068032,K0,5645,1.2,1.2,0.1327,0.78842,4.36,6.39,0.36,[Fe/H],-47.37504,,1.3,-5.08
HD 126614,2.57271,HD 126614,HD 126614,HIP 70623,TIC 287973473,Gaia DR3 3641697998570813952,G8 IV,5568,1.369794,0.96,0.08279,0.558422,4.174243,7.2,0.56,[Fe/H],-32.5,,1.5,-5.14
HD 127506,2.57280,HIP 70950,HD 127506,HIP 70950,TIC 286992966,Gaia DR3 1480314599451475712,K3V,4595.32,0.735766,0.73,-0.66256,2.583859,4.56791,,-0.08,[M/H],-19.2,,3,
HD 128311,2.57291,HD 128311,HD 128311,HIP 71395,TIC 349606708,Gaia DR3 1176209886733406592,K0,4965,0.76,0.828,-0.5116,2.609236,4.61,0.96,0.08,[Fe/H],-9.61658,,3.65,
HD 128356,2.57292,HD 128356,HD 128356,HIP 71481,TIC 1056530200,Gaia DR3 6223838830917236224,K3 V,4875,0.85,0.65,-0.4437,1.732479,4.52,10,0.17,[Fe/H],,,1.3,
HD 128717,2.580153,HD 128717,HD 128717,HIP 71425,TIC 298163592,Gaia DR3 1610837178107032192,,6210,1.248,1.212,0.322,0.879,4.329,1.4,0.16,[Fe/H],,,6.1,-4.948
HD 129445,2.57309,HD 129445,HD 129445,HIP 72203,TIC 258186667,Gaia DR3 5800013451037514496,G6 V,5646,1.175816,0.99,0.08968,0.903687,4.28,,0.25,[Fe/H],7.5,,3,
HD 130322,2.57312,HD 130322,HD 130322,HIP 72339,TIC 189694184,Gaia DR3 3650718804281798912,K0 V,5387,0.85,0.92,-0.23544,1.957953,4.52,0.35,-0.02,[Fe/H],-12.504,,0.5,-4.78
HD 131496,2.57324,HD 131496,HD 131496,HIP 72845,TIC 267365022,Gaia DR3 1236429004715336576,K0,4846,4.44,1.34,0.99123,,3.18,2.7,0.25,[Fe/H],1.36065,,0.48,
HD 13167,2.54370,HD 13167,HD 13167,HIP 9960,TIC 72638232,Gaia DR3 5121479777262042112,G3 V,5671,2.39,1.35,0.96025,0.044956,3.72,,0.19,[M/H],16.15977,,,
HD 13189,2.54374,HD 13189,HD 13189,HIP 10085,TIC 63564248,Gaia DR3 325494788018024576,K2,4175,38.41,2.24,2.63638,,1.62,,-0.37,[Fe/H],25.99989,,,
HD 132406,2.57335,HD 132406,HD 132406,HIP 73146,TIC 309808219,Gaia DR3 1594127865540229888,G0 V,5766,1.34,0.973,0.25996,0.583873,4.19,7.187,0.1293,[M/H],-37.79668,,,
HD 132563,2.57343,HD 132563,HD 132563,HIP 73261 A,TIC 284680749,Gaia DR3 1585765117538284800,F8,6289,1.29577,1.231,0.37408,0.797692,4.30327,2.31,-0.06,[Fe/H],,,,
HD 133131 A,2.78574,HD 133131,HD 133131 A,HIP 73674 A,TIC 440955228,Gaia DR3 6224633983987510528,G2 V,5799,0.955014,0.95,-0.01658,1.715702,4.39,9.7,-0.306,[Fe/H],-15.8,,4,
HD 133131 B,2.57352,HD 133131,HD 133131 B,HIP 73674 B,TIC 440955225,Gaia DR3 6224633983987511552,G2 V,5805,0.989538,0.93,-0.0092,1.716097,4.41,9.7,-0.281,[Fe/H],-15.34307,,7,
HD 134060,2.57383,HD 134060,HD 134060,HIP 74273,TIC 454901855,Gaia DR3 5876112300125320448,G3 IV,5966,1.164285,1.095,0.15836,1.015934,4.43,5.6,0.14,[Fe/H],37.4,23,2.6,-4.95
HD 134606,2.57405,HD 134606,HD 134606,HIP 74653,TIC 262457542,Gaia DR3 5798962867668048768,G5IV,5576,1.158,1.046,0.06483,0.95,4.33,7.3,0.343,[Fe/H],2.3,42,1.3,-5.1
HD 134987,2.57396,HD 134987,HD 134987,HIP 74500,TIC 61397572,Gaia DR3 6226694571859532800,G5 V,5736,1.22,1.1,0.25527,0.683202,4.31,8.4,0.28,[Fe/H],5.20598,,2.17,-5.09
HD 134987,2.57396,HD 134987,HD 134987,HIP 74500,TIC 61397572,Gaia DR3 6226694571859532800,G5 V,5585,1.25,1.1,0.25527,0.683202,4.31,8.4,0.28,[Fe/H],5.20598,,2.17,-5.09
HD 135344 A,2.579993,HD 135344,HD 135344 A,,TIC 307606851,Gaia DR3 6199395656645840384,A0 V,9540,1.5,2.32,1.22,0.856038,4.41545,,0.05,[M/H],,,,
HD 135625,2.579077,HD 135625,HD 135625,HIP 74856,TIC 143713715,Gaia DR3 6000000322464144896,G3 IV/V,6040.64,1.35743,1.28,0.34446,0.631293,4.22185,4.4,0.12,[M/H],,,4.5,-4.99
HD 135694,2.573990,HD 135694,HD 135694,HIP 74326,TIC 232540264,Gaia DR3 1696831425624356480,,5712,1.08,1.02,0.03941,1.0333,4.335,9.8,-0.121,[Fe/H],,,,-4.99
HD 135872,2.578126,HD 135872,HD 135872,,TIC 38948719,Gaia DR3 6334990316794611200,,4992,3.93038,1.646,0.937,,,,0.09,[M/H],,,,
HD 136118,2.578127,HD 136118,HD 136118,HIP 74948,TIC 38991680,Gaia DR3 4415515934099120768,F7 V,6097,1.67754,1.18,0.56868,0.352395,4.053,,-0.05,[Fe/H],,,,
HD 136352,2.57435,HD 136352,HD 136352,HIP 75181,TIC 136916387,Gaia DR3 5902750168276592256,G4 V,5664,1.058,0.87,0.0162,1.034813,4.39,12.3,-0.24,[M/H],-69,23.8,1,-4.91
HD 136418,2.57418,HD 136418,HD 136418,HIP 74961,TIC 1101862696,Gaia DR3 1392396172224832896,G5,4989,3.78,1.48,0.83251,,3.45,4,-0.11,[Fe/H],-34.25444,,,
HD 136925,2.572925,HD 136925,HD 136925,HIP 75281,TIC 400015692,Gaia DR3 1170797781264303616,,5773.19,1.193078,0.875104,0.13441,0.92841,4.226014,,-0.2172,[Fe/H],,,,
HD 13724,2.578128,HD 13724,HD 13724,,TIC 7244844,Gaia DR3 4942867480584948352,,5835.31,1.04198,1.004,0.05467,1.308518,4.42354,,0.2169,[M/H],,,,
HD 137388,2.57527,HD 137388,HD 137388,HIP 76351,TIC 407090552,Gaia DR3 5778418870846853888,K2 IV,5181,0.88,0.68,-0.33724,1.71112,4.39,6.45,0.19,[Fe/H],26.00675,,4,
HD 137496,2.402014,HD 137496,HD 137496,,TIC 346250894,Gaia DR3 6258810550587404672,G,5799,1.59,1.04,0.36633,0.259,4.05,8.3,-0.03,[Fe/H],-2.9889,,,
HD 13808,2.54378,HD 13808,HD 13808,HIP 10301,TIC 220022156,Gaia DR3 4743692151804240896,K2 V,5035,0.781,0.771,-0.43455,2.45775,4.57546,7.2,-0.21,[Fe/H],40.89896,38.99,2,
HD 13908,2.54400,HD 13908,HD 13908,HIP 10743,TIC 12906712,Gaia DR3 515574853541230720,F8 V,6255,1.67,1.29,0.602,0.236212,4.11,2.9,0.01,[Fe/H],15.882,,4.2,
HD 13931,2.54392,HD 13931,HD 13931,HIP 10626,TIC 292851928,Gaia DR3 351537889154226816,G0,5867,1.25,1.3,0.1959,0.710125,4.36,8.4,0.05,[Fe/H],30.3,,2,-5.03
HD 139357,2.57519,HD 139357,HD 139357,HIP 76311,TIC 224312054,Gaia DR3 1597757387783227008,K4 III,4700,11.47,2.69,1.82295,,2.9,3.07,-0.13,[Fe/H],-8.03722,,,
HD 1397,2.53959,HD 1397,HD 1397,HIP 1419,TIC 394137592,Gaia DR3 4707634458245031552,G5 III/IV,5521,2.336,1.324,0.65992,0.147,3.823,4.51,0.29,[Fe/H],30.7526,,2,
HD 14067,2.54394,HD 14067,HD 14067,HIP 10657,TIC 246937460,Gaia DR3 101040381244467968,G9 III,4815,12.4,2.4,1.898,,2.61,0.69,-0.1,[Fe/H],-11.53842,,1,
HD 140901,2.57604,HIP 77358,HD 140901,HIP 77358,TIC 179348425,Gaia DR3 6009538585839374336,G7 IV,5610,0.95,1.06,-0.10237,1.554333,4.46,3.2,0.0859,[M/H],-6.9,,2,-4.79
HD 140901,2.57604,HIP 77358,HD 140901,HIP 77358,TIC 179348425,Gaia DR3 6009538585839374336,G7 IV,5610,0.95,0.99,-0.10237,1.554333,4.46,3.2,0.0859,[M/H],-6.9,,2,-4.79
HD 141004,2.57591,HD 141004,HD 141004,HIP 77257,TIC 296740796,Gaia DR3 4430238051199001216,G0Vvar,5885.38,1.389372,1.051904,0.346,0.607374,4.17384,6.32,0.0247,[Fe/H],-66.8,18,3.1,-4.97
HD 141399,2.57596,HD 141399,HD 141399,HIP 77301,TIC 156067565,Gaia DR3 1398218223733415552,K0,5600,1.387236,1.07,0.2014,0.511592,4.28,,0.35,[Fe/H],-21.548,,2.9,-5.17
HD 141937,2.57639,HD 141937,HD 141937,HIP 77740,TIC 437430894,Gaia DR3 6248534171318085376,G1 V,5870,1.03,1.09,0.022,1.237926,4.45,2.32,0.12,[Fe/H],-2.915,13.25,2.1,-4.65
HD 142,2.53931,HD 142,HD 142,HIP 522,TIC 389757979,Gaia DR3 4976894960284258048,F7V,6245,1.47,1.21,0.47418,0.550278,4.62,3.12,0.09,[Fe/H],5.44453,,10.4,
HD 142022 A,2.57732,HD 142022,HD 142022 A,HIP 79242,TIC 290493086,Gaia DR3 5768159705804908800,G9 IV-V,5421,1.04,0.9,0.00432,1.217979,4.35,7,0.19,[Fe/H],-9.798,,1.2,
HD 142245,2.57641,HD 142245,HD 142245,HIP 77783,TIC 172607132,Gaia DR3 1193193836691820032,K0,4922,4.63,3.5,1.13033,,3.65,2.3,0.17,[Fe/H],6.6261,,2.66,
HD 142415,2.57663,HD 142415,HD 142415,HIP 78169,TIC 342041655,Gaia DR3 5833117718964892928,G1 V,5940,1.04,1.07,0.06,1.305243,4.44,1.1,0.13,[Fe/H],-12,,3.3,-4.66
HD 143105,2.57644,HD 143105,HD 143105,HIP 77838,TIC 272783172,Gaia DR3 1646538011423566464,F5,6380,1.647304,1.51,0.55557,0.411335,4.37,,0.15,[Fe/H],15.9418,,9.1,
HD 143361,2.57680,HD 143361,HD 143361,HIP 78521,TIC 255480497,Gaia DR3 5991331601015519104,G6 V,5507,0.916,0.968,-0.09151,1.244573,4.472,2.942,0.14,[Fe/H],-0.27017,42,1.5,-5.01
HD 143811 A,2.580024,HD 143811,HD 143811 A,HIP 78663,TIC 93869857,Gaia DR3 6040105283968486144,,6791,1.68398,1.32,0.64102,0.383796,4.34,0.018,,,,,7.5,
HD 144899,2.578129,HD 144899,HD 144899,,TIC 215687919,Gaia DR3 5984023937500025344,,6126,1.64802,1.16,0.53733,0.365376,4.0686,,,,,,,
HD 145377,2.57743,HD 145377,HD 145377,HIP 79346,TIC 68165288,Gaia DR3 6042491773948918656,G3 V,6014,1.05,1.2,0.19312,1.208616,4.47,1.3,0.11,[Fe/H],11.45436,,5,-4.74
HD 145457,2.57730,HD 145457,HD 145457,HIP 79219,TIC 236339228,Gaia DR3 1315900158983769472,K0,4757,9.9,1.9,1.65514,,2.77,2.605,-0.14,[Fe/H],-3.1494,,,
HD 145934,2.103754,HD 145934,HD 145934,,TIC 119974993,Gaia DR3 4463442512084825728,K0,4823.75,6.930587,2.058,1.35455,,3.011205,1.56,0.0951,[Fe/H],-28.20392,,,
HD 1461,2.53964,HD 1461,HD 1461,HIP 1499,TIC 37748347,Gaia DR3 2430102808294101760,G0 V,5765,1.152288,1.02,0.0954,1.009181,4.38,7.12,0.19,[Fe/H],-10.0596,,1.6,-5.03
HD 147018,2.57831,HD 147018,HD 147018,HIP 80250,TIC 350083732,Gaia DR3 5831054382288870912,G9 V,5441,0.937948,0.927,-0.14757,1.676269,4.42,6.36,0.1,[Fe/H],-27.348,,1.56,
HD 147379,2.57788,HD 147379,HD 147379,HIP 79755,TIC 230073581,Gaia DR3 1642641410934267008,M0.0 V,4090,0.628304,0.58,-1.09691,3.216194,4.609,,0.16,[Fe/H],-19.85536,28.8,2.7,-4.75
